PERIOD,TTO,TBF,H,HR,BB,HBP,SO,R_ON_PLAY
2024,1,1419,318,36,93,10,339,125
2024,2,1362,349,43,93,12,268,192
2024,3,741,188,27,60,4,140,106
2024,4+,11,3,0,1,0,2,0
2025,1,1446,342,48,107,9,327,167
2025,2,1416,306,41,98,12,297,152
2025,3,878,196,36,66,7,159,111
2025,4+,9,1,0,0,0,3,0
2026_CUTOFF,1,913,210,42,66,6,163,100
2026_CUTOFF,2,880,211,22,69,12,140,100
2026_CUTOFF,3,558,137,22,39,4,90,68
2026_CUTOFF,4+,20,3,0,0,0,4,1
