PERIOD,FRV_TOTAL,INF_OF_RUNS,RANGE_RUNS,ARM_RUNS,DP_RUNS,REC_1B_RUNS,CATCHING_RUNS,FRAMING_RUNS,THROWING_RUNS,BLOCKING_RUNS,TOP_DELTA,CATCH_DELTA
2024,33.435,33.795,29.544,-6.825,7.147,3.929,-0.36,0.31,0.002,-0.672,0.0,0.0
2025,9.155,2.591,8.455,-3.301,-0.893,-1.669,6.563,4.577,-1.224,3.21,0.0,0.0
2026_CUTOFF,30.98,28.642,28.95,-2.486,2.718,-0.54,2.337,0.402,0.576,1.359,0.0,-0.0
