PERIOD,FAMILY,PITCHES,WHIFF_PCT,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA,RUN_VALUE
2024,FASTBALL,13818,14.27,3530,0.294,0.383,0.489,0.387,0.369,129.7
2024,BREAKING,7118,28.81,1751,0.211,0.267,0.376,0.288,0.281,-10.8
2024,OFFSPEED,3424,25.83,941,0.245,0.281,0.39,0.301,0.305,4.8
2025,FASTBALL,12652,15.35,3259,0.281,0.367,0.479,0.376,0.363,58.4
2025,BREAKING,7923,29.71,1971,0.217,0.276,0.387,0.3,0.29,6.7
2025,OFFSPEED,3455,28.55,962,0.225,0.265,0.38,0.287,0.285,9.5
2026_CUTOFF,FASTBALL,8154,14.55,2089,0.27,0.355,0.448,0.363,0.349,-0.6
2026_CUTOFF,BREAKING,4422,27.63,1072,0.212,0.268,0.332,0.28,0.277,-9.4
2026_CUTOFF,OFFSPEED,2385,28.53,642,0.198,0.24,0.332,0.261,0.266,-6.4
