PERIOD,G,W,L,RS,RA,R_G,RA_G,DIFF,HOME_W,HOME_L,AWAY_W,AWAY_L,ONE_RUN_W,ONE_RUN_L
2024,162,89,73,886,788,5.469,4.864,98,44,37,45,36,26,20
2025,162,80,82,791,785,4.883,4.846,6,43,38,37,44,21,28
2026_CUTOFF,102,53,49,456,459,4.471,4.5,-3,31,22,22,27,18,15
