PERIOD,PITCHES,CHASE_PCT,WHIFF_PCT,CONTACT_PCT,EV,HARD_HIT_PCT,BARREL_PCT,wOBA,xwOBA
2024,24607,26.15,20.2,79.8,82.65,24.32,4.21,0.347,0.336
2025,24143,28.16,22.13,77.87,83.03,26.33,4.79,0.34,0.329
2026_CUTOFF,15018,30.86,20.73,79.27,82.61,24.77,3.88,0.322,0.315
