PERIOD,ROLE,IP,H,ER,HR,BB,HBP,SO,BF,ERA,WHIP,K9,BB9,HR9,K_PCT,BB_PCT,K_BB_PCT,FIP
2024,BULLPEN,617.0,610,302,75,234,28,564,2667,4.405,1.368,8.227,3.413,1.094,21.15,8.77,12.37,4.192
2024,STARTER,826.333,858,440,106,247,26,749,3528,4.792,1.337,8.158,2.69,1.154,21.23,7.0,14.23,4.012
2025,BULLPEN,558.333,558,299,71,229,29,502,2439,4.82,1.41,8.092,3.691,1.144,20.58,9.39,11.19,4.376
2025,STARTER,885.667,845,422,125,271,28,786,3744,4.288,1.26,7.987,2.754,1.27,20.99,7.24,13.76,4.208
2026_CUTOFF,BULLPEN,348.0,303,155,37,121,20,298,1455,4.009,1.218,7.707,3.129,0.957,20.48,8.32,12.16,3.981
2026_CUTOFF,STARTER,554.667,561,270,86,174,22,397,2366,4.381,1.325,6.442,2.823,1.395,16.78,7.35,9.43,4.74
