PERIOD,FAMILY,PITCHES,WHIFF_PCT,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA,RUN_VALUE
2024,FASTBALL,14466,17.2,3583,0.267,0.353,0.423,0.351,0.338,12.9
2024,BREAKING,7368,30.88,1790,0.221,0.283,0.378,0.295,0.28,15.4
2024,OFFSPEED,2949,28.39,753,0.219,0.272,0.354,0.285,0.28,9.7
2025,FASTBALL,13871,15.31,3513,0.274,0.361,0.418,0.354,0.338,-14.1
2025,BREAKING,7672,28.81,1911,0.234,0.292,0.378,0.306,0.285,29.6
2025,OFFSPEED,2870,24.93,769,0.245,0.289,0.393,0.312,0.29,30.5
2026_CUTOFF,FASTBALL,8935,16.03,2306,0.272,0.367,0.426,0.362,0.349,-1.6
2026_CUTOFF,BREAKING,4643,28.68,1127,0.232,0.285,0.378,0.303,0.282,18.5
2026_CUTOFF,OFFSPEED,2023,30.19,480,0.21,0.272,0.297,0.27,0.274,-0.8
