PERIOD,G,W,L,RS,RA,R_G,RA_G,DIFF,HOME_W,HOME_L,AWAY_W,AWAY_L,ONE_RUN_W,ONE_RUN_L
2024,162,93,69,777,641,4.796,3.957,136,47,34,46,35,28,25
2025,162,97,65,806,634,4.975,3.914,172,52,29,45,36,28,20
2026_CUTOFF,102,64,38,514,381,5.039,3.735,133,34,19,30,19,17,14
