PERIOD,TTO,TBF,H,HR,BB,HBP,SO,R_ON_PLAY
2024,1,1407,295,51,106,13,335,130
2024,2,1340,286,46,113,19,290,142
2024,3,645,172,26,52,8,108,94
2024,4+,13,4,1,1,0,2,3
2025,1,1445,292,39,129,20,376,112
2025,2,1360,261,50,114,10,330,129
2025,3,574,141,18,47,7,106,78
2025,4+,2,0,0,0,0,0,0
2026_CUTOFF,1,913,167,24,70,12,284,67
2026_CUTOFF,2,860,178,32,60,14,224,94
2026_CUTOFF,3,323,58,7,25,5,78,28
2026_CUTOFF,4+,5,0,0,0,1,2,0
