PERIOD,P_THROWS,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA
2024,L,1643,0.245,0.325,0.387,0.325,0.308
2024,R,4538,0.25,0.326,0.409,0.331,0.319
2025,L,1823,0.268,0.339,0.395,0.34,0.309
2025,R,4414,0.254,0.33,0.407,0.334,0.32
2026_CUTOFF,L,1173,0.238,0.325,0.357,0.32,0.315
2026_CUTOFF,R,2804,0.259,0.341,0.413,0.345,0.329
