PERIOD,ROLE,IP,H,ER,HR,BB,HBP,SO,BF,ERA,WHIP,K9,BB9,HR9,K_PCT,BB_PCT,K_BB_PCT,FIP
2024,BULLPEN,652.0,532,225,72,222,24,638,2686,3.106,1.156,8.807,3.064,0.994,23.75,8.27,15.49,3.776
2024,STARTER,794.0,757,361,124,272,40,735,3390,4.092,1.296,8.331,3.083,1.406,21.68,8.02,13.66,4.524
2025,BULLPEN,634.667,543,256,61,243,29,620,2663,3.63,1.238,8.792,3.446,0.865,23.28,9.13,14.16,3.716
2025,STARTER,807.333,694,319,107,291,37,812,3378,3.556,1.22,9.052,3.244,1.193,24.04,8.61,15.42,4.065
2026_CUTOFF,BULLPEN,400.0,338,157,39,167,9,409,1674,3.533,1.262,9.203,3.757,0.877,24.43,9.98,14.46,3.638
2026_CUTOFF,STARTER,513.667,403,192,63,155,32,588,2094,3.364,1.086,10.302,2.716,1.104,28.08,7.4,20.68,3.493
