PERIOD,FRV_TOTAL,INF_OF_RUNS,RANGE_RUNS,ARM_RUNS,DP_RUNS,REC_1B_RUNS,CATCHING_RUNS,FRAMING_RUNS,THROWING_RUNS,BLOCKING_RUNS,TOP_DELTA,CATCH_DELTA
2024,32.157,30.204,24.67,4.401,2.481,-1.349,1.953,3.676,-1.047,-0.676,-0.0,0.0
2025,30.571,25.294,23.418,-1.42,2.625,0.672,5.276,1.91,1.258,2.108,0.0,-0.0
2026_CUTOFF,-5.78,-0.98,4.106,-6.262,3.756,-2.581,-4.8,-6.275,4.372,-2.898,0.0,-0.0
