PERIOD,PITCHES,CHASE_PCT,WHIFF_PCT,CONTACT_PCT,EV,HARD_HIT_PCT,BARREL_PCT,wOBA,xwOBA
2024,24977,25.41,22.4,77.6,82.28,23.27,3.74,0.329,0.316
2025,24566,25.13,20.47,79.53,82.47,24.37,3.63,0.336,0.317
2026_CUTOFF,15815,25.71,21.27,78.73,82.85,24.22,3.93,0.337,0.325
