PERIOD,TTO,TBF,H,HR,BB,HBP,SO,R_ON_PLAY
2024,1,1372,290,36,97,7,325,112
2024,2,1126,255,29,64,10,272,120
2024,3,605,140,18,45,7,132,82
2024,4+,9,2,0,0,0,1,0
2025,1,1421,304,43,100,11,384,117
2025,2,1318,271,41,101,14,300,141
2025,3,643,157,24,50,4,156,91
2025,4+,11,4,1,0,0,2,4
2026_CUTOFF,1,893,185,23,55,12,216,64
2026_CUTOFF,2,833,173,22,63,9,189,92
2026_CUTOFF,3,437,86,12,33,6,96,49
2026_CUTOFF,4+,6,3,0,0,0,1,0
