PERIOD,P_THROWS,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA
2024,L,1398,0.229,0.298,0.362,0.301,0.302
2024,R,4634,0.235,0.3,0.392,0.314,0.311
2025,L,1703,0.265,0.335,0.439,0.346,0.331
2025,R,4396,0.24,0.309,0.404,0.318,0.319
2026_CUTOFF,L,1073,0.227,0.317,0.374,0.316,0.323
2026_CUTOFF,R,2774,0.237,0.31,0.409,0.324,0.321
