PERIOD,ROLE,IP,H,ER,HR,BB,HBP,SO,BF,ERA,WHIP,K9,BB9,HR9,K_PCT,BB_PCT,K_BB_PCT,FIP
2024,BULLPEN,694.0,578,274,76,210,33,624,2862,3.553,1.135,8.092,2.723,0.986,21.8,7.34,14.47,3.842
2024,STARTER,753.0,687,309,83,206,24,730,3107,3.693,1.186,8.725,2.462,0.992,23.5,6.63,16.87,3.576
2025,BULLPEN,622.0,573,280,78,234,30,533,2651,4.051,1.297,7.712,3.386,1.129,20.11,8.83,11.28,4.325
2025,STARTER,814.333,736,354,109,251,29,842,3383,3.912,1.212,9.306,2.774,1.205,24.89,7.42,17.47,3.839
2026_CUTOFF,BULLPEN,377.0,343,160,43,159,18,358,1612,3.82,1.332,8.546,3.796,1.027,22.21,9.86,12.34,4.088
2026_CUTOFF,STARTER,522.667,447,205,57,151,27,502,2166,3.53,1.144,8.644,2.6,0.982,23.18,6.97,16.2,3.614
