PERIOD,G,W,L,RS,RA,R_G,RA_G,DIFF,HOME_W,HOME_L,AWAY_W,AWAY_L,ONE_RUN_W,ONE_RUN_L
2024,162,86,76,682,642,4.21,3.963,40,43,38,43,38,31,24
2025,162,87,75,758,691,4.679,4.265,67,46,35,41,40,21,12
2026_CUTOFF,102,48,54,433,405,4.245,3.971,28,27,23,21,31,10,17
