PERIOD,PITCHES,CHASE_PCT,WHIFF_PCT,CONTACT_PCT,EV,HARD_HIT_PCT,BARREL_PCT,wOBA,xwOBA
2024,23821,27.42,23.74,76.26,82.48,22.62,3.99,0.311,0.309
2025,24085,27.74,23.3,76.7,82.8,24.24,4.83,0.326,0.322
2026_CUTOFF,15169,27.24,22.62,77.38,82.58,23.98,4.67,0.322,0.322
