PERIOD,FAMILY,PITCHES,WHIFF_PCT,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA,RUN_VALUE
2024,FASTBALL,12836,17.76,3252,0.248,0.326,0.403,0.33,0.331,-49.6
2024,BREAKING,7440,30.9,1778,0.214,0.261,0.375,0.285,0.277,-0.7
2024,OFFSPEED,3330,31.7,950,0.229,0.276,0.358,0.288,0.282,1.2
2025,FASTBALL,13014,16.64,3313,0.275,0.358,0.453,0.36,0.362,24.1
2025,BREAKING,7452,31.88,1787,0.2,0.254,0.354,0.274,0.266,-26.2
2025,OFFSPEED,3504,30.85,968,0.24,0.278,0.398,0.301,0.281,11.4
2026_CUTOFF,FASTBALL,8342,15.81,2206,0.256,0.348,0.437,0.353,0.367,-0.8
2026_CUTOFF,BREAKING,4262,29.55,983,0.217,0.278,0.382,0.297,0.273,5.1
2026_CUTOFF,OFFSPEED,2503,34.45,636,0.195,0.236,0.303,0.246,0.235,-15.4
