PERIOD,FRV_TOTAL,INF_OF_RUNS,RANGE_RUNS,ARM_RUNS,DP_RUNS,REC_1B_RUNS,CATCHING_RUNS,FRAMING_RUNS,THROWING_RUNS,BLOCKING_RUNS,TOP_DELTA,CATCH_DELTA
2024,24.97,5.917,17.759,-7.611,-6.122,1.891,19.053,11.894,2.724,4.435,-0.0,0.0
2025,1.466,-10.848,-1.971,-5.502,-2.651,-0.723,12.314,8.882,1.611,1.822,-0.0,0.0
2026_CUTOFF,-11.791,-17.281,-15.635,-6.22,5.534,-0.96,5.49,2.983,0.585,1.922,-0.0,0.0
