PERIOD,ROLE,IP,H,ER,HR,BB,HBP,SO,BF,ERA,WHIP,K9,BB9,HR9,K_PCT,BB_PCT,K_BB_PCT,FIP
2024,BULLPEN,638.667,636,336,82,338,31,656,2869,4.735,1.525,9.244,4.763,1.156,22.87,11.78,11.08,4.514
2024,STARTER,781.333,761,401,119,305,23,710,3372,4.619,1.364,8.178,3.513,1.371,21.06,9.05,12.01,4.588
2025,BULLPEN,657.333,610,304,79,295,32,645,2850,4.162,1.377,8.831,4.039,1.082,22.63,10.35,12.28,4.227
2025,STARTER,758.667,726,370,110,300,40,641,3274,4.389,1.352,7.604,3.559,1.305,19.58,9.16,10.42,4.675
2026_CUTOFF,BULLPEN,456.333,389,197,53,211,21,451,1953,3.885,1.315,8.895,4.161,1.045,23.09,10.8,12.29,4.154
2026_CUTOFF,STARTER,437.667,406,208,56,164,38,402,1878,4.277,1.302,8.267,3.372,1.152,21.41,8.73,12.67,4.307
