PERIOD,P_THROWS,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA
2024,L,1511,0.22,0.284,0.326,0.283,0.287
2024,R,4367,0.221,0.276,0.345,0.284,0.293
2025,L,1557,0.245,0.3,0.399,0.32,0.302
2025,R,4436,0.228,0.302,0.364,0.307,0.309
2026_CUTOFF,L,1097,0.233,0.31,0.401,0.321,0.321
2026_CUTOFF,R,2730,0.243,0.321,0.412,0.332,0.328
