PERIOD,G,W,L,RS,RA,R_G,RA_G,DIFF,HOME_W,HOME_L,AWAY_W,AWAY_L,ONE_RUN_W,ONE_RUN_L
2024,162,41,121,507,813,3.13,5.019,-306,23,58,18,63,13,29
2025,162,60,102,647,742,3.994,4.58,-95,33,48,27,54,15,36
2026_CUTOFF,101,54,47,483,439,4.782,4.347,44,31,17,23,30,19,14
