PERIOD,PITCHES,CHASE_PCT,WHIFF_PCT,CONTACT_PCT,EV,HARD_HIT_PCT,BARREL_PCT,wOBA,xwOBA
2024,22535,30.27,23.76,76.24,81.83,21.5,3.21,0.284,0.291
2025,23285,27.54,23.02,76.98,82.93,24.41,4.29,0.31,0.307
2026_CUTOFF,14748,28.92,24.47,75.53,82.57,25.31,4.49,0.329,0.326
