PERIOD,TTO,TBF,H,HR,BB,HBP,SO,R_ON_PLAY
2024,1,1444,315,40,116,9,346,139
2024,2,1328,317,52,124,8,250,173
2024,3,597,125,27,65,6,113,81
2024,4+,12,4,0,0,0,1,1
2025,1,1395,300,44,136,22,302,149
2025,2,1266,268,41,110,15,238,147
2025,3,615,155,24,54,3,100,85
2025,4+,9,3,1,0,0,1,2
2026_CUTOFF,1,827,169,29,60,21,203,77
2026_CUTOFF,2,724,165,19,72,11,140,96
2026_CUTOFF,3,331,72,8,32,6,59,30
