PERIOD,FRV_TOTAL,INF_OF_RUNS,RANGE_RUNS,ARM_RUNS,DP_RUNS,REC_1B_RUNS,CATCHING_RUNS,FRAMING_RUNS,THROWING_RUNS,BLOCKING_RUNS,TOP_DELTA,CATCH_DELTA
2024,-62.566,-47.841,-30.998,-10.843,-4.17,-1.83,-14.725,-11.613,-0.775,-2.337,-0.0,0.0
2025,-38.064,-16.723,-18.776,-5.35,4.428,2.976,-21.341,-15.861,-4.819,-0.662,0.0,-0.0
2026_CUTOFF,3.081,9.635,7.119,-1.127,4.866,-1.223,-6.554,-4.889,0.979,-2.644,-0.0,0.0
