game_pk,pitcher_id,boxscore_np,games_pitched,savant_pitches,_merge,match
822885,592094,28,1,28,both,True
822885,605452,21,1,21,both,True
822885,606996,10,1,10,both,True
822885,621111,87,1,87,both,True
822885,641302,9,1,9,both,True
822885,656641,13,1,13,both,True
822885,668390,14,1,14,both,True
822885,669022,95,1,95,both,True
822885,670970,35,1,35,both,True
822885,682608,15,1,15,both,True
822885,695243,21,1,21,both,True
822967,518886,11,1,11,both,True
822967,592155,24,1,24,both,True
822967,642121,25,1,25,both,True
822967,676917,68,1,68,both,True
822967,680730,32,1,32,both,True
822967,690925,21,1,21,both,True
822967,693855,81,1,81,both,True
822967,695418,36,1,36,both,True
823126,543056,5,1,5,both,True
823126,594027,14,1,14,both,True
823126,621074,15,1,15,both,True
823126,676106,76,1,76,both,True
823126,676477,15,1,15,both,True
823126,678606,18,1,18,both,True
823126,689546,24,1,24,both,True
823126,695380,14,1,14,both,True
823126,813349,98,1,98,both,True
823447,642547,80,1,80,both,True
823447,650911,91,1,91,both,True
823447,661395,17,1,17,both,True
823447,668964,41,1,41,both,True
823447,670097,10,1,10,both,True
823447,672335,32,1,32,both,True
823447,676661,26,1,26,both,True
823532,622088,23,1,23,both,True
823532,642232,29,1,29,both,True
823532,656234,15,1,15,both,True
823532,656271,13,1,13,both,True
823532,657612,5,1,5,both,True
823532,671096,97,1,97,both,True
823532,680474,14,1,14,both,True
823532,695534,23,1,23,both,True
823532,701542,90,1,90,both,True
823854,657424,28,1,28,both,True
823854,663941,18,1,18,both,True
823854,664126,15,1,15,both,True
823854,664141,35,1,35,both,True
823854,669622,13,1,13,both,True
823854,676604,22,1,22,both,True
823854,676974,98,1,98,both,True
823854,686790,69,1,69,both,True
823854,806188,25,1,25,both,True
823937,552640,10,1,10,both,True
823937,642546,14,1,14,both,True
823937,664991,3,1,3,both,True
823937,666974,15,1,15,both,True
823937,669432,96,1,96,both,True
823937,670329,11,1,11,both,True
823937,681911,20,1,20,both,True
823937,683618,14,1,14,both,True
823937,808967,102,1,102,both,True
824180,650556,11,1,11,both,True
824180,663878,24,1,24,both,True
824180,670036,15,1,15,both,True
824180,676282,98,1,98,both,True
824180,681293,90,1,90,both,True
824180,805123,16,1,16,both,True
824263,445276,10,1,10,both,True
824263,656794,42,1,42,both,True
824263,663947,21,1,21,both,True
824263,669684,16,1,16,both,True
824263,670950,16,1,16,both,True
824263,675512,84,1,84,both,True
824263,697812,47,1,47,both,True
824263,699823,28,1,28,both,True
824342,608372,85,1,85,both,True
824342,623474,20,1,20,both,True
824342,657514,21,1,21,both,True
824342,669387,32,1,32,both,True
824342,677955,13,1,13,both,True
824342,694973,104,1,104,both,True
824665,571578,101,1,101,both,True
824665,573204,13,1,13,both,True
824665,607067,78,1,78,both,True
824665,656546,22,1,22,both,True
824665,657097,27,1,27,both,True
824665,663423,13,1,13,both,True
824665,669020,1,1,1,both,True
824665,681751,32,1,32,both,True
824665,681799,14,1,14,both,True
824665,686973,28,1,28,both,True
824665,689254,11,1,11,both,True
824909,519242,101,1,101,both,True
824909,656730,8,1,8,both,True
824909,669276,11,1,11,both,True
824909,675916,10,1,10,both,True
824909,676879,14,1,14,both,True
824909,682842,8,1,8,both,True
824909,690986,85,1,85,both,True
824909,800311,28,1,28,both,True
824988,489446,15,1,15,both,True
824988,605130,24,1,24,both,True
824988,664129,43,1,43,both,True
824988,666171,24,1,24,both,True
824988,669372,98,1,98,both,True
824988,696519,28,1,28,both,True
824988,700712,90,1,90,both,True
825068,545121,20,1,20,both,True
825068,607455,12,1,12,both,True
825068,664875,40,1,40,both,True
825068,668678,81,1,81,both,True
825068,671737,91,1,91,both,True
825068,672782,7,1,7,both,True
825068,679358,24,1,24,both,True
825068,691769,44,1,44,both,True
825068,700270,44,1,44,both,True
