date,game_pk,team,match_excluding_er,sum_bf,sum_outs,sum_r,sum_h,sum_bb,sum_k,sum_hr,team_bf,team_outs,team_r,team_h,team_bb,team_k,team_hr,sum_er,team_er
2026-07-21,822787,TB,True,34,27,2,7,1,6,0,34,27,2,7,1,6,0,2,2
2026-07-21,822787,TOR,True,50,27,12,21,3,7,2,50,27,12,21,3,7,2,11,11
2026-07-21,822871,CWS,True,43,24,10,18,1,4,2,43,24,10,18,1,4,2,10,10
2026-07-21,822871,TEX,True,34,27,0,3,4,8,0,34,27,0,3,4,8,0,0,0
2026-07-21,823114,CIN,True,39,27,2,6,6,9,2,39,27,2,6,6,9,2,2,2
2026-07-21,823114,SEA,True,35,27,4,5,3,4,3,35,27,4,5,3,4,3,4,4
2026-07-21,823437,LAD,True,34,27,1,7,1,11,0,34,27,1,7,1,11,0,1,1
2026-07-21,823437,PHI,True,31,27,2,5,0,11,1,31,27,2,5,0,11,1,2,2
2026-07-21,823760,NYM,True,30,27,0,4,1,3,0,30,27,0,4,1,3,0,0,0
2026-07-21,823760,MIL,True,42,27,4,13,4,7,2,42,27,4,13,4,7,2,4,4
2026-07-21,824005,STL,True,36,24,5,10,4,9,1,36,24,5,10,4,9,1,5,5
2026-07-21,824005,LAA,True,35,27,1,7,1,11,0,35,27,1,7,1,11,0,1,1
2026-07-21,824085,SF,True,36,24,3,8,2,7,1,36,24,3,8,2,7,1,3,3
2026-07-21,824085,KC,True,35,27,2,5,3,10,0,35,27,2,5,3,10,0,2,2
2026-07-21,824165,MIA,True,31,24,5,8,1,5,2,31,24,5,8,1,5,2,4,2
2026-07-21,824165,HOU,True,38,27,3,8,3,13,1,38,27,3,8,3,13,1,3,3
2026-07-21,824329,WSH,True,40,24,8,12,2,6,2,40,24,8,12,2,6,2,8,8
2026-07-21,824329,COL,True,38,27,7,10,2,10,2,38,27,7,10,2,10,2,7,7
2026-07-21,824409,MIN,True,37,24,5,9,4,3,0,37,24,5,9,4,3,0,5,5
2026-07-21,824409,CLE,True,35,27,2,6,1,9,1,35,27,2,6,1,9,1,1,1
2026-07-21,824652,DET,True,47,24,11,11,11,9,1,47,24,11,11,11,9,1,11,11
2026-07-21,824652,CHC,True,37,27,2,7,3,6,1,37,27,2,7,3,6,1,2,2
2026-07-21,824895,SD,True,39,27,3,4,8,9,0,39,27,3,4,8,9,0,3,3
2026-07-21,824895,ATL,True,42,27,8,13,6,11,4,42,27,8,13,6,11,4,8,8
2026-07-21,825056,ATH,True,44,28,6,9,7,8,1,44,28,6,9,7,8,1,5,5
2026-07-21,825056,AZ,True,41,30,5,9,3,9,2,41,30,5,9,3,9,2,4,4
