pitcher_id,pbp_pitches,entry_inning,first_play_index,last_play_index,first_pitch_row,last_pitch_row,entry_half,game_pk,pbp_source,fallback_used,date,game_date_time,team,opp,home_away,pitcher_name,games_pitched,games_started,is_starter,role,boxscore_np,bf,outs,r,er,h,bb,k,hr,boxscore_source,_merge,pitch_count_match,physical_appearance,primary_position,primary_position_name,pitcher_class,line_stats_match,qa_status
573009,10,7,56,58,229,238,Top,822820,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-05-09.parquet,False,2026-05-09,2026-05-09T19:07:00Z,TOR,LAA,H,Joe Mantiply,1,0,False,RELIEF_OR_BULK,10,3,3,0,0,0,0,0,0,https://statsapi.mlb.com/api/v1.1/game/822820/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V31
624428,29,8,72,80,289,317,Bot,822820,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-05-09.parquet,False,2026-05-09,2026-05-09T19:07:00Z,LAA,TOR,A,Adam Frazier,1,0,False,RELIEF_OR_BULK,29,9,3,4,4,5,1,0,1,https://statsapi.mlb.com/api/v1.1/game/822820/feed/live,both,True,True,2B,Second Base,POSITION_PLAYER_PITCHING,True,EXCLUIR_POSITION_PLAYER_PITCHING
643511,25,8,66,71,264,288,Top,822820,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-05-09.parquet,False,2026-05-09,2026-05-09T19:07:00Z,TOR,LAA,H,Tyler Rogers,1,0,False,RELIEF_OR_BULK,25,6,3,1,1,3,0,0,0,https://statsapi.mlb.com/api/v1.1/game/822820/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V31
667297,9,9,81,85,318,326,Top,822820,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-05-09.parquet,False,2026-05-09,2026-05-09T19:07:00Z,TOR,LAA,H,Tommy Nance,1,0,False,RELIEF_OR_BULK,9,5,3,0,0,3,0,1,0,https://statsapi.mlb.com/api/v1.1/game/822820/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V31
680755,12,6,50,52,205,216,Top,822820,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-05-09.parquet,False,2026-05-09,2026-05-09T19:07:00Z,TOR,LAA,H,Braydon Fisher,1,0,False,RELIEF_OR_BULK,12,3,3,0,0,0,0,0,0,https://statsapi.mlb.com/api/v1.1/game/822820/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V31
686799,84,1,3,44,17,183,Bot,822820,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-05-09.parquet,False,2026-05-09,2026-05-09T19:07:00Z,LAA,TOR,A,Jack Kochanowicz,1,1,True,STARTER,84,25,12,7,6,9,2,0,0,https://statsapi.mlb.com/api/v1.1/game/822820/feed/live,both,True,True,P,Pitcher,STARTER/OPENER/BULK,True,QA_VALIDATED_CANONICAL_V31
689254,12,5,36,38,148,159,Top,822820,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-05-09.parquet,False,2026-05-09,2026-05-09T19:07:00Z,TOR,LAA,H,Mason Fluharty,1,0,False,RELIEF_OR_BULK,12,3,3,0,0,0,0,2,0,https://statsapi.mlb.com/api/v1.1/game/822820/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V31
702056,87,1,0,29,1,129,Top,822820,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-05-09.parquet,False,2026-05-09,2026-05-09T19:07:00Z,TOR,LAA,H,Trey Yesavage,1,1,True,STARTER,87,17,12,0,0,4,2,6,0,https://statsapi.mlb.com/api/v1.1/game/822820/feed/live,both,True,True,P,Pitcher,STARTER/OPENER/BULK,True,QA_VALIDATED_CANONICAL_V31
815083,58,5,45,65,184,263,Bot,822820,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-05-09.parquet,False,2026-05-09,2026-05-09T19:07:00Z,LAA,TOR,A,Mitch Farris,1,0,False,RELIEF_OR_BULK,58,15,9,3,3,6,0,2,2,https://statsapi.mlb.com/api/v1.1/game/822820/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V31
656222,13,5,40,47,167,198,Top,822905,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-05-09.parquet,False,2026-05-09,2026-05-09T23:05:00Z,TEX,CHC,H,Jalen Beeks,1,0,False,RELIEF_OR_BULK,13,4,4,0,0,0,0,1,0,https://statsapi.mlb.com/api/v1.1/game/822905/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V31
657097,26,6,48,53,199,224,Bot,822905,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-05-09.parquet,False,2026-05-09,2026-05-09T23:05:00Z,CHC,TEX,A,Jacob Webb,1,0,False,RELIEF_OR_BULK,26,6,3,1,1,2,1,1,0,https://statsapi.mlb.com/api/v1.1/game/822905/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V31
665795,88,1,5,44,29,190,Bot,822905,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-05-09.parquet,False,2026-05-09,2026-05-09T23:05:00Z,CHC,TEX,A,Edward Cabrera,1,1,True,STARTER,88,21,15,5,5,7,1,6,2,https://statsapi.mlb.com/api/v1.1/game/822905/feed/live,both,True,True,P,Pitcher,STARTER/OPENER/BULK,True,QA_VALIDATED_CANONICAL_V31
668390,11,7,54,56,225,235,Top,822905,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-05-09.parquet,False,2026-05-09,2026-05-09T23:05:00Z,TEX,CHC,H,Cole Winn,1,0,False,RELIEF_OR_BULK,11,3,3,0,0,0,0,1,0,https://statsapi.mlb.com/api/v1.1/game/822905/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V31
681799,29,7,57,67,236,280,Bot,822905,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-05-09.parquet,False,2026-05-09,2026-05-09T23:05:00Z,CHC,TEX,A,Ethan Roberts,1,0,False,RELIEF_OR_BULK,29,7,6,0,0,0,2,0,0,https://statsapi.mlb.com/api/v1.1/game/822905/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V31
683004,97,1,0,39,1,166,Top,822905,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-05-09.parquet,False,2026-05-09,2026-05-09T23:05:00Z,TEX,CHC,H,Jack Leiter,1,1,True,STARTER,97,23,14,0,0,4,5,6,0,https://statsapi.mlb.com/api/v1.1/game/822905/feed/live,both,True,True,P,Pitcher,STARTER/OPENER/BULK,True,QA_VALIDATED_CANONICAL_V31
686560,35,8,60,71,255,299,Top,822905,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-05-09.parquet,False,2026-05-09,2026-05-09T23:05:00Z,TEX,CHC,H,Gavin Collyer,1,0,False,RELIEF_OR_BULK,35,8,6,0,0,1,1,1,0,https://statsapi.mlb.com/api/v1.1/game/822905/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V31
621366,16,5,31,34,138,153,Top,823224,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-05-09.parquet,False,2026-05-09,2026-05-10T01:05:00Z,SF,PIT,H,Ryan Borucki,1,0,False,RELIEF_OR_BULK,16,4,2,1,1,2,0,0,0,https://statsapi.mlb.com/api/v1.1/game/823224/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V31
657424,15,6,46,48,191,205,Top,823224,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-05-09.parquet,False,2026-05-09,2026-05-10T01:05:00Z,SF,PIT,H,Matt Gage,1,0,False,RELIEF_OR_BULK,15,3,2,0,0,1,0,1,0,https://statsapi.mlb.com/api/v1.1/game/823224/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V31
664141,30,7,54,59,223,252,Top,823224,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-05-09.parquet,False,2026-05-09,2026-05-10T01:05:00Z,SF,PIT,H,JT Brubaker,1,0,False,RELIEF_OR_BULK,30,6,2,4,3,4,0,1,0,https://statsapi.mlb.com/api/v1.1/game/823224/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V31
