game_pk,pitcher_id,boxscore_np,games_pitched,savant_pitches,_merge,match
822777,543037,87,1,87,both,True
822777,621112,22,1,22,both,True
822777,643511,20,1,20,both,True
822777,669456,84,1,84,both,True
822777,686973,4,1,4,both,True
822777,689254,6,1,6,both,True
822777,690440,12,1,12,both,True
822942,552640,8,1,8,both,True
822942,571927,21,1,21,both,True
822942,592155,15,1,15,both,True
822942,605135,88,1,88,both,True
822942,664076,10,1,10,both,True
822942,666974,24,1,24,both,True
822942,669330,16,1,16,both,True
822942,669947,64,1,64,both,True
822942,670329,20,1,20,both,True
822942,676742,1,1,1,both,True
822942,677020,7,1,7,both,True
822942,687330,4,1,4,both,True
822942,688297,36,1,36,both,True
823185,607536,95,1,95,both,True
823185,657514,11,1,11,both,True
823185,664141,16,1,16,both,True
823185,665665,5,1,5,both,True
823185,671345,12,1,12,both,True
823185,694738,91,1,91,both,True
823185,805345,41,1,41,both,True
823346,489446,18,1,18,both,True
823346,596133,11,1,11,both,True
823346,642397,14,1,14,both,True
823346,663558,27,1,27,both,True
823346,666808,25,1,25,both,True
823346,682254,6,1,6,both,True
823346,687562,82,1,82,both,True
823346,687941,36,1,36,both,True
823346,696149,87,1,87,both,True
823591,476594,84,1,84,both,True
823591,650960,17,1,17,both,True
823591,656234,26,1,26,both,True
823591,668820,16,1,16,both,True
823591,673540,14,1,14,both,True
823591,674841,73,1,73,both,True
823591,681320,3,1,3,both,True
823591,702752,24,1,24,both,True
823913,621242,26,1,26,both,True
823913,623465,18,1,18,both,True
823913,656945,19,1,19,both,True
823913,669060,15,1,15,both,True
823913,681982,9,1,9,both,True
823913,688107,102,1,102,both,True
823913,808967,97,1,97,both,True
823993,607625,86,1,86,both,True
823993,621016,9,1,9,both,True
823993,642048,9,1,9,both,True
823993,656638,14,1,14,both,True
823993,663878,12,1,12,both,True
823993,670167,17,1,17,both,True
823993,670245,13,1,13,both,True
823993,671111,39,1,39,both,True
823993,674444,12,1,12,both,True
823993,680570,89,1,89,both,True
823993,684665,24,1,24,both,True
824159,595345,7,1,7,both,True
824159,621074,16,1,16,both,True
824159,623352,23,1,23,both,True
824159,642100,12,1,12,both,True
824159,650556,29,1,29,both,True
824159,656986,16,1,16,both,True
824159,660825,20,1,20,both,True
824159,660853,19,1,19,both,True
824159,662253,23,1,23,both,True
824159,663567,96,1,96,both,True
824159,669923,99,1,99,both,True
824237,621097,16,1,16,both,True
824237,623211,13,1,13,both,True
824237,646241,44,1,44,both,True
824237,656794,25,1,25,both,True
824237,663542,10,1,10,both,True
824237,664353,52,1,52,both,True
824237,680744,28,1,28,both,True
824237,691799,18,1,18,both,True
824237,695549,74,1,74,both,True
824399,650633,83,1,83,both,True
824399,668909,91,1,91,both,True
824399,669093,18,1,18,both,True
824399,670036,15,1,15,both,True
824399,670059,14,1,14,both,True
824399,673513,18,1,18,both,True
824399,680916,14,1,14,both,True
824399,682120,9,1,9,both,True
824399,684974,14,1,14,both,True
824399,699134,18,1,18,both,True
824479,641941,11,1,11,both,True
824479,645261,103,1,103,both,True
824479,656271,15,1,15,both,True
824479,694795,23,1,23,both,True
824479,695505,93,1,93,both,True
824643,605280,80,1,80,both,True
824643,657097,13,1,13,both,True
824643,657265,36,1,36,both,True
824643,666171,27,1,27,both,True
824643,666277,17,1,17,both,True
824643,669020,11,1,11,both,True
824643,669461,95,1,95,both,True
824882,519242,108,1,108,both,True
824882,641755,14,1,14,both,True
824882,666661,19,1,19,both,True
824882,689266,24,1,24,both,True
824882,694297,87,1,87,both,True
824882,800311,17,1,17,both,True
824882,805299,11,1,11,both,True
824968,594835,1,1,1,both,True
824968,641302,23,1,23,both,True
824968,663687,27,1,27,both,True
824968,665622,29,1,29,both,True
824968,665660,14,1,14,both,True
824968,677958,94,1,94,both,True
824968,680723,8,1,8,both,True
824968,681217,15,1,15,both,True
824968,695239,16,1,16,both,True
824968,695611,101,1,101,both,True
