game_pk,official_date,game_dt,query_dates
822728,2026-06-02,2026-06-02T22:45:00Z,2026-06-02
822971,2026-06-02,2026-06-02T22:40:00Z,2026-06-02
823052,2026-06-02,2026-06-02T23:45:00Z,2026-06-02
823129,2026-06-02,2026-06-03T01:40:00Z,2026-06-02
823460,2026-06-02,2026-06-02T22:40:00Z,2026-06-02
823541,2026-06-02,2026-06-02T23:05:00Z,2026-06-02
823700,2026-06-02,2026-06-02T23:40:00Z,2026-06-02
823782,2026-06-02,2026-06-02T23:40:00Z,2026-06-02
824026,2026-06-02,2026-06-03T01:38:00Z,2026-06-02
824189,2026-06-02,2026-06-03T00:10:00Z,2026-06-02
824511,2026-06-02,2026-06-02T23:10:00Z,2026-06-02
824675,2026-06-02,2026-06-03T00:05:00Z,2026-06-02
824754,2026-06-02,2026-06-02T22:45:00Z,2026-06-02
824918,2026-06-02,2026-06-02T23:15:00Z,2026-06-02
825079,2026-06-02,2026-06-03T01:40:00Z,2026-06-02
