game_pk,official_date,game_dt,query_dates
822697,2026-08-11,2026-08-11T22:45:00Z,2026-08-11
822778,2026-08-11,2026-08-11T23:07:00Z,2026-08-11
823019,2026-08-11,2026-08-11T23:45:00Z,2026-08-11
823186,2026-08-11,2026-08-12T01:45:00Z,2026-08-11
823264,2026-08-11,2026-08-12T01:40:00Z,2026-08-11
823512,2026-08-11,2026-08-11T23:05:00Z,2026-08-11
823673,2026-08-11,2026-08-11T23:40:00Z,2026-08-11
823832,2026-08-11,2026-08-11T22:40:00Z,2026-08-11
823917,2026-08-11,2026-08-12T02:10:00Z,2026-08-11
823997,2026-08-11,2026-08-12T01:38:00Z,2026-08-11
824240,2026-08-11,2026-08-11T22:40:00Z,2026-08-11
824563,2026-08-11,2026-08-11T23:40:00Z,2026-08-11
824886,2026-08-11,2026-08-11T23:15:00Z,2026-08-11
824970,2026-08-11,2026-08-12T01:40:00Z,2026-08-11
825046,2026-08-11,2026-08-12T01:40:00Z,2026-08-11
