game_pk,official_date,game_dt,query_dates
822724,2026-06-15,2026-06-15T22:45:00Z,2026-06-15
822887,2026-06-15,2026-06-16T00:05:00Z,2026-06-15
823046,2026-06-15,2026-06-15T23:45:00Z,2026-06-15
823452,2026-06-15,2026-06-15T22:40:00Z,2026-06-15
823938,2026-06-15,2026-06-16T02:10:00Z,2026-06-15
824181,2026-06-15,2026-06-16T00:10:00Z,2026-06-15
824505,2026-06-15,2026-06-15T23:10:00Z,2026-06-15
824666,2026-06-15,2026-06-16T00:05:00Z,2026-06-15
824993,2026-06-15,2026-06-16T01:40:00Z,2026-06-15
825071,2026-06-15,2026-06-16T01:40:00Z,2026-06-15
