game_pk,pitcher_id,boxscore_np,savant_pitches,_merge,match
822828,453286,68,68.0,both,True
822828,573009,21,21.0,both,True
822828,623437,12,12.0,both,True
822828,643511,7,7.0,both,True
822828,656546,12,12.0,both,True
822828,667297,8,8.0,both,True
822828,671737,106,106.0,both,True
822828,686973,16,16.0,both,True
822828,689254,13,13.0,both,True
822828,702193,67,67.0,both,True
822998,642121,15,15.0,both,True
822998,642232,20,20.0,both,True
822998,656876,76,76.0,both,True
822998,666808,11,11.0,both,True
822998,669438,21,21.0,both,True
822998,687330,18,18.0,both,True
822998,687396,9,9.0,both,True
822998,693645,85,85.0,both,True
823075,543056,5,5.0,both,True
823075,666277,13,13.0,both,True
823075,669467,95,95.0,both,True
823075,677161,23,23.0,both,True
823075,678394,94,94.0,both,True
823075,694363,50,50.0,both,True
823154,650556,27,27.0,both,True
823154,660853,13,13.0,both,True
823154,669302,85,85.0,both,True
823154,675989,42,42.0,both,True
823154,678606,6,6.0,both,True
823154,681151,38,38.0,both,True
823154,681867,9,9.0,both,True
823154,685005,40,40.0,both,True
823317,593974,11,11.0,both,True
823317,601713,46,46.0,both,True
823317,606996,34,34.0,both,True
823317,623474,24,24.0,both,True
823317,657514,5,5.0,both,True
823317,678368,90,90.0,both,True
823317,680767,13,13.0,both,True
823317,688158,33,33.0,both,True
823317,699134,19,19.0,both,True
823317,801403,10,10.0,both,True
823479,621237,13,13.0,both,True
823479,623149,11,11.0,both,True
823479,641835,9,9.0,both,True
823479,642528,9,9.0,both,True
823479,647315,37,37.0,both,True
823479,656464,12,12.0,both,True
823479,657044,5,5.0,both,True
823479,664199,15,15.0,both,True
823479,668678,84,84.0,both,True
823479,680742,18,18.0,both,True
823479,691725,80,80.0,both,True
823642,605130,17,17.0,both,True
823642,640455,41,41.0,both,True
823642,642547,100,100.0,both,True
823642,650644,75,75.0,both,True
823642,663687,13,13.0,both,True
823642,665660,6,6.0,both,True
823642,669270,4,4.0,both,True
823804,605540,70,70.0,both,True
823804,641793,71,71.0,both,True
823804,663765,16,16.0,both,True
823804,669371,12,12.0,both,True
823804,672582,21,21.0,both,True
823804,676571,16,16.0,both,True
823804,676879,11,11.0,both,True
823804,681402,8,8.0,both,True
823804,682842,18,18.0,both,True
823804,686610,25,25.0,both,True
823966,594798,93,93.0,both,True
823966,596001,19,19.0,both,True
823966,656641,15,15.0,both,True
823966,668390,21,21.0,both,True
823966,676263,5,5.0,both,True
823966,676508,26,26.0,both,True
823966,683618,17,17.0,both,True
823966,694361,37,37.0,both,True
823966,808963,94,94.0,both,True
824126,608371,8,8.0,both,True
824126,622554,15,15.0,both,True
824126,656638,16,16.0,both,True
824126,656794,9,9.0,both,True
824126,663542,21,21.0,both,True
824126,663738,12,12.0,both,True
824126,663855,18,18.0,both,True
824126,670167,22,22.0,both,True
824126,673929,20,20.0,both,True
824126,683232,17,17.0,both,True
824126,685126,16,16.0,both,True
824126,686563,14,14.0,both,True
824126,691799,27,27.0,both,True
824126,702070,67,67.0,both,True
824293,640448,14,14.0,both,True
824293,645261,100,100.0,both,True
824293,657756,15,15.0,both,True
824293,663969,37,37.0,both,True
824293,669373,96,96.0,both,True
824533,519141,9,9.0,both,True
824533,594580,31,31.0,both,True
824533,656271,25,25.0,both,True
824533,667755,106,106.0,both,True
824533,671096,71,71.0,both,True
824533,680704,17,17.0,both,True
824533,683175,11,11.0,both,True
824533,693312,40,40.0,both,True
824533,696147,33,33.0,both,True
824696,592791,102,102.0,both,True
824696,664353,22,22.0,both,True
824696,664875,29,29.0,both,True
824696,681799,13,13.0,both,True
824696,682995,32,32.0,both,True
824696,694037,16,16.0,both,True
824696,696149,91,91.0,both,True
824696,702303,19,19.0,both,True
824859,605288,88,88.0,both,True
824859,657424,21,21.0,both,True
824859,664141,20,20.0,both,True
824859,669062,21,21.0,both,True
824859,669330,28,28.0,both,True
824859,676254,20,20.0,both,True
824859,689296,3,3.0,both,True
824859,700249,97,97.0,both,True
824938,519242,97,97.0,both,True
824938,595978,4,4.0,both,True
824938,663465,69,69.0,both,True
824938,676440,93,93.0,both,True
824938,689266,33,33.0,both,True
