game_pk,official_date,game_dt,query_dates
822807,2026-06-07,2026-06-07T17:37:00Z,2026-06-07
822890,2026-06-07,2026-06-07T18:35:00Z,2026-06-07
823047,2026-06-07,2026-06-07T18:15:00Z,2026-06-07
823291,2026-06-07,2026-06-07T20:10:00Z,2026-06-07
823453,2026-06-07,2026-06-07T17:35:00Z,2026-06-07
823537,2026-06-07,2026-06-07T17:35:00Z,2026-06-07
823696,2026-06-07,2026-06-07T18:10:00Z,2026-06-07
823857,2026-06-07,2026-06-07T17:40:00Z,2026-06-07
823941,2026-06-07,2026-06-07T20:10:00Z,2026-06-07
824183,2026-06-07,2026-06-07T18:10:00Z,2026-06-07
824268,2026-06-07,2026-06-07T17:40:00Z,2026-06-07
824349,2026-06-07,2026-06-07T19:10:00Z,2026-06-07
824670,2026-06-07,2026-06-08T00:30:00Z,2026-06-07
824916,2026-06-07,2026-06-07T17:35:00Z,2026-06-07
825074,2026-06-07,2026-06-07T19:15:00Z,2026-06-07
