date,game_pk,team,match_excluding_er,sum_bf,sum_outs,sum_r,sum_h,sum_bb,sum_k,sum_hr,team_bf,team_outs,team_r,team_h,team_bb,team_k,team_hr,sum_er,team_er
2026-06-01,822730,MIA,True,33,27,3,7,1,7,1,33,27,3,7,1,7,1,3,3
2026-06-01,822730,WSH,True,42,27,7,10,4,10,3,42,27,7,10,4,10,3,7,7
2026-06-01,822974,DET,True,42,27,9,8,8,8,2,42,27,9,8,8,8,2,9,9
2026-06-01,822974,TB,True,44,27,10,14,3,8,5,44,27,10,14,3,8,5,10,10
2026-06-01,823050,TEX,True,34,27,1,5,1,14,1,34,27,1,5,1,14,1,1,1
2026-06-01,823050,STL,True,36,27,2,8,2,5,0,36,27,2,8,2,5,0,2,2
2026-06-01,823131,NYM,True,33,28,3,4,1,9,2,33,28,3,4,1,9,2,2,2
2026-06-01,823131,SEA,True,32,30,2,2,0,12,2,32,30,2,2,0,12,2,2,2
2026-06-01,823702,CWS,True,37,24,9,10,4,6,1,37,24,9,10,4,6,1,9,9
2026-06-01,823702,MIN,True,40,27,6,11,1,11,3,40,27,6,11,1,11,3,6,6
2026-06-01,823781,SF,True,51,24,16,18,11,6,0,51,24,16,18,11,6,0,16,16
2026-06-01,823781,MIL,True,36,27,2,5,5,10,1,36,27,2,5,5,10,1,2,2
2026-06-01,824027,COL,True,42,27,8,10,4,5,1,42,27,8,10,4,5,1,7,7
2026-06-01,824027,LAA,True,48,27,9,10,10,11,2,48,27,9,10,10,11,2,8,8
2026-06-01,824510,KC,True,38,27,2,6,6,12,1,38,27,2,6,6,12,1,2,2
2026-06-01,824510,CIN,True,45,27,9,13,5,7,3,45,27,9,13,5,7,3,9,9
2026-06-01,825078,LAD,True,29,24,4,5,0,4,3,29,24,4,5,0,4,3,4,4
2026-06-01,825078,AZ,True,33,27,1,6,1,5,0,33,27,1,6,1,5,0,1,1
