RELIEVER_APPEARANCE_ID,GAME_PK,FECHA,TEAM,OPP,HOME_AWAY,MLBAM_ID,PITCHER,ROLE,DAYS_REST,PREV_PITCHES,PREV_BF,PREV_OUTS,PITCHES_2D,PITCHES_3D,BF_2D,BF_3D,B2B,THREE_DAYS_3,CURRENT_PITCHES,CURRENT_BF,CURRENT_OUTS,R,ER,H,BB,K,HR,SOURCE_URL,QA_STATUS,PREV_ROLE,PREV_APPEARANCE_LEVEL,SAME_DAY_REPEAT,PITCHER_CLASS,PRIMARY_POSITION,PBP_SOURCE,BOXSCORE_SOURCE,PITCH_COUNT_MATCH,ENTRY_INNING,ENTRY_HALF,FIRST_PLAY_INDEX,LAST_PLAY_INDEX
823829-667463,823829,2026-08-13,MIA,PIT,H,667463,John King,RELIEF_OR_BULK,5.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,False,False,21,5,2,3,3,2,1,0,1,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-13.parquet,QA_VALIDATED_CANONICAL_V124,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-13.parquet,https://statsapi.mlb.com/api/v1.1/game/823829/feed/live,True,8,Top,54,58
823829-806188,823829,2026-08-13,MIA,PIT,H,806188,Cade Gibson,RELIEF_OR_BULK,4.0,13.0,4.0,3.0,0.0,0.0,0.0,0.0,False,False,37,9,5,1,1,1,2,3,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-13.parquet,QA_VALIDATED_CANONICAL_V124,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-13.parquet,https://statsapi.mlb.com/api/v1.1/game/823829/feed/live,True,6,Top,39,50
824238-445276,824238,2026-08-13,DET,CLE,H,445276,Kenley Jansen,RELIEF_OR_BULK,1.0,29.0,6.0,3.0,29.0,29.0,6.0,6.0,False,False,10,3,3,0,0,0,0,0,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-13.parquet,QA_VALIDATED_CANONICAL_V124,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-13.parquet,https://statsapi.mlb.com/api/v1.1/game/824238/feed/live,True,9,Top,63,65
824238-663947,824238,2026-08-13,DET,CLE,H,663947,Tyler Holton,RELIEF_OR_BULK,1.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,False,False,19,6,5,0,0,1,0,0,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-13.parquet,QA_VALIDATED_CANONICAL_V124,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-13.parquet,https://statsapi.mlb.com/api/v1.1/game/824238/feed/live,True,7,Top,47,56
824238-680916,824238,2026-08-13,CLE,DET,A,680916,Franco Aleman,RELIEF_OR_BULK,1.0,14.0,4.0,3.0,14.0,14.0,4.0,4.0,False,False,21,4,1,1,1,2,1,0,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-13.parquet,QA_VALIDATED_CANONICAL_V124,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-13.parquet,https://statsapi.mlb.com/api/v1.1/game/824238/feed/live,True,8,Bot,57,60
824238-682120,824238,2026-08-13,CLE,DET,A,682120,Tim Herrin,RELIEF_OR_BULK,3.0,24.0,5.0,5.0,0.0,0.0,0.0,0.0,False,False,10,2,2,0,0,0,0,0,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-13.parquet,QA_VALIDATED_CANONICAL_V124,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-13.parquet,https://statsapi.mlb.com/api/v1.1/game/824238/feed/live,True,8,Bot,61,62
824238-684974,824238,2026-08-13,CLE,DET,A,684974,Craig Yoho,RELIEF_OR_BULK,3.0,31.0,7.0,1.0,0.0,0.0,0.0,0.0,False,False,20,5,4,0,0,1,0,2,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-13.parquet,QA_VALIDATED_CANONICAL_V124,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-13.parquet,https://statsapi.mlb.com/api/v1.1/game/824238/feed/live,True,6,Bot,45,52
824561-572955,824561,2026-08-13,CIN,CWS,A,572955,Pierce Johnson,RELIEF_OR_BULK,1.0,8.0,3.0,3.0,8.0,8.0,3.0,3.0,False,False,9,1,1,0,0,0,0,1,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-13.parquet,QA_VALIDATED_CANONICAL_V124,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-13.parquet,https://statsapi.mlb.com/api/v1.1/game/824561/feed/live,True,8,Bot,79,79
824561-594580,824561,2026-08-13,CIN,CWS,A,594580,Sam Moll,RELIEF_OR_BULK,0.0,16.0,4.0,3.0,16.0,16.0,4.0,4.0,True,False,26,6,2,2,2,3,1,1,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-13.parquet,QA_VALIDATED_CANONICAL_V124,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-13.parquet,https://statsapi.mlb.com/api/v1.1/game/824561/feed/live,True,8,Bot,73,78
824561-607200,824561,2026-08-13,CWS,CIN,H,607200,Erick Fedde,RELIEF_OR_BULK,5.0,15.0,3.0,3.0,0.0,0.0,0.0,0.0,False,False,51,16,9,4,4,5,2,1,1,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-13.parquet,QA_VALIDATED_CANONICAL_V124,RELIEF_OR_BULK,MLB,False,BULLPEN_PITCHER,P,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-13.parquet,https://statsapi.mlb.com/api/v1.1/game/824561/feed/live,True,3,Top,23,46
