date,game_pk,team,match_excluding_er,sum_bf,sum_outs,sum_r,sum_h,sum_bb,sum_k,sum_hr,team_bf,team_outs,team_r,team_h,team_bb,team_k,team_hr,sum_er,team_er
2026-06-07,822807,BAL,True,36,24,6,10,1,5,2,36,24,6,10,1,5,2,2,2
2026-06-07,822807,TOR,True,36,27,4,8,2,10,2,36,27,4,8,2,10,2,4,4
2026-06-07,822890,CLE,True,42,24,10,16,3,8,4,42,24,10,16,3,8,4,10,10
2026-06-07,822890,TEX,True,35,27,0,6,2,8,0,35,27,0,6,2,8,0,0,0
2026-06-07,823047,CIN,True,41,24,5,6,8,7,1,41,24,5,6,8,7,1,3,3
2026-06-07,823047,STL,True,37,27,3,10,0,9,3,37,27,3,10,0,9,3,3,3
2026-06-07,823291,NYM,True,37,27,3,7,4,7,1,37,27,3,7,4,7,1,3,3
2026-06-07,823291,SD,True,44,27,7,13,4,7,3,44,27,7,13,4,7,3,7,7
2026-06-07,823453,CWS,True,40,24,9,11,6,9,2,40,24,9,11,6,9,2,9,9
2026-06-07,823453,PHI,True,42,27,5,10,5,11,0,42,27,5,10,5,11,0,5,5
2026-06-07,823537,BOS,True,35,24,6,10,1,10,2,35,24,6,10,1,10,2,6,6
2026-06-07,823537,NYY,True,33,27,1,6,1,6,0,33,27,1,6,1,6,0,1,1
2026-06-07,823696,KC,True,38,27,5,8,1,8,1,38,27,5,8,1,8,1,4,4
2026-06-07,823696,MIN,True,39,27,6,9,3,15,1,39,27,6,9,3,15,1,6,6
2026-06-07,823857,TB,True,33,24,4,5,6,8,0,33,24,4,5,6,8,0,3,3
2026-06-07,823857,MIA,True,32,27,1,6,1,10,0,32,27,1,6,1,10,0,1,1
2026-06-07,823941,LAA,True,40,27,5,11,3,9,2,40,27,5,11,3,9,2,4,4
2026-06-07,823941,LAD,True,47,27,13,15,6,14,2,47,27,13,15,6,14,2,13,13
2026-06-07,824183,ATH,True,33,27,0,4,3,7,0,33,27,0,4,3,7,0,0,0
2026-06-07,824183,HOU,True,39,27,5,8,3,8,2,39,27,5,8,3,8,2,4,4
2026-06-07,824268,SEA,True,38,26,5,6,5,7,1,38,26,5,6,5,7,1,5,5
2026-06-07,824268,DET,True,41,27,4,11,3,11,0,41,27,4,11,3,11,0,4,4
2026-06-07,824349,MIL,True,33,27,4,7,1,7,1,33,27,4,7,1,7,1,4,4
2026-06-07,824349,COL,True,46,27,12,17,3,5,1,46,27,12,17,3,5,1,12,12
2026-06-07,824670,SF,True,40,30,1,7,5,10,0,40,30,1,7,5,10,0,1,1
2026-06-07,824670,CHC,True,37,30,2,4,4,9,0,37,30,2,4,4,9,0,1,1
2026-06-07,824916,PIT,True,32,24,3,3,4,10,0,32,24,3,3,4,10,0,2,2
2026-06-07,824916,ATL,True,36,27,2,5,4,8,1,36,27,2,5,4,8,1,2,2
2026-06-07,825074,WSH,True,36,24,5,9,4,4,2,36,24,5,9,4,4,2,5,5
2026-06-07,825074,AZ,True,32,27,1,3,2,7,1,32,27,1,3,2,7,1,1,1
