game_pk,pitcher_id,boxscore_np,games_pitched,savant_pitches,_merge,match
822814,571578,84,1,84,both,True
822814,656546,13,1,13,both,True
822814,670990,19,1,19,both,True
822814,671936,10,1,10,both,True
822814,680755,14,1,14,both,True
822814,681895,9,1,9,both,True
822814,684320,20,1,20,both,True
822814,694973,98,1,98,both,True
823222,605288,79,1,79,both,True
823222,607200,85,1,85,both,True
823222,656529,16,1,16,both,True
823222,657424,23,1,23,both,True
823222,663542,16,1,16,both,True
823222,666711,29,1,29,both,True
823222,670950,39,1,39,both,True
823222,673929,21,1,21,both,True
823300,592094,18,1,18,both,True
823300,605130,13,1,13,both,True
823300,608337,86,1,86,both,True
823300,660761,46,1,46,both,True
823300,669093,12,1,12,both,True
823300,669270,21,1,21,both,True
823300,669372,73,1,73,both,True
823300,670970,10,1,10,both,True
823300,695243,13,1,13,both,True
823458,542888,18,1,18,both,True
823458,554430,99,1,99,both,True
823458,641745,16,1,16,both,True
823458,661395,20,1,20,both,True
823458,670036,19,1,19,both,True
823458,677944,86,1,86,both,True
823458,688883,29,1,29,both,True
823458,689147,12,1,12,both,True
823787,642546,14,1,14,both,True
823787,656945,17,1,17,both,True
823787,663765,49,1,49,both,True
823787,669084,29,1,29,both,True
823787,669165,15,1,15,both,True
823787,681911,23,1,23,both,True
823787,681982,26,1,26,both,True
823787,688107,89,1,89,both,True
823787,808963,87,1,87,both,True
823862,642547,108,1,108,both,True
823862,669622,20,1,20,both,True
823862,676974,95,1,95,both,True
823862,677053,12,1,12,both,True
823862,702752,12,1,12,both,True
824030,489446,11,1,11,both,True
824030,543135,97,1,97,both,True
824030,641302,18,1,18,both,True
824030,642048,12,1,12,both,True
824030,666171,15,1,15,both,True
824030,668390,16,1,16,both,True
824030,681217,4,1,4,both,True
824030,700712,93,1,93,both,True
824030,820862,29,1,29,both,True
824109,663568,108,1,108,both,True
824109,669923,92,1,92,both,True
824109,689546,24,1,24,both,True
824109,695380,10,1,10,both,True
824516,572955,23,1,23,both,True
824516,656271,26,1,26,both,True
824516,663574,28,1,28,both,True
824516,668933,29,1,29,both,True
824516,668941,12,1,12,both,True
824516,676617,20,1,20,both,True
824516,677865,13,1,13,both,True
824516,681517,87,1,87,both,True
824516,681676,24,1,24,both,True
824516,695534,62,1,62,both,True
824516,700669,17,1,17,both,True
824518,592773,19,1,19,both,True
824518,594580,10,1,10,both,True
824518,663978,84,1,84,both,True
824518,666277,8,1,8,both,True
824518,669467,93,1,93,both,True
824518,683175,28,1,28,both,True
824518,683742,54,1,54,both,True
824518,694335,14,1,14,both,True
824674,595345,11,1,11,both,True
824674,607067,98,1,98,both,True
824674,660853,8,1,8,both,True
824674,663423,14,1,14,both,True
824674,669020,16,1,16,both,True
824674,678906,89,1,89,both,True
824674,687911,21,1,21,both,True
824760,573124,6,1,6,both,True
824760,663558,15,1,15,both,True
824760,670245,20,1,20,both,True
824760,671737,73,1,73,both,True
824760,678394,92,1,92,both,True
824760,696070,45,1,45,both,True
824760,701719,11,1,11,both,True
824760,702193,32,1,32,both,True
824920,641755,11,1,11,both,True
824920,656550,87,1,87,both,True
824920,663623,80,1,80,both,True
824920,663992,11,1,11,both,True
824920,689266,30,1,30,both,True
824920,695418,47,1,47,both,True
825080,547179,94,1,94,both,True
825080,623149,12,1,12,both,True
825080,624522,52,1,52,both,True
825080,656464,14,1,14,both,True
825080,668678,82,1,82,both,True
825080,678020,4,1,4,both,True
825080,694297,23,1,23,both,True
