game_pk,official_date,game_dt,query_dates
822791,2026-07-01,2026-07-01T19:07:00Z,2026-07-01
823446,2026-07-01,2026-07-01T22:40:00Z,2026-07-01
823530,2026-07-01,2026-07-01T17:35:00Z,2026-07-01
823767,2026-07-01,2026-07-02T00:10:00Z,2026-07-01
824094,2026-07-01,2026-07-01T23:40:00Z,2026-07-01
824174,2026-07-01,2026-07-02T00:10:00Z,2026-07-01
824337,2026-07-01,2026-07-02T00:40:00Z,2026-07-01
824419,2026-07-01,2026-07-01T17:10:00Z,2026-07-01
824660,2026-07-01,2026-07-01T18:20:00Z,2026-07-01
824740,2026-07-01,2026-07-01T17:35:00Z,2026-07-01
824818,2026-07-01,2026-07-01T16:35:00Z,2026-07-01
824905,2026-07-01,2026-07-01T23:15:00Z,2026-07-01
824985,2026-07-01,2026-07-02T01:40:00Z,2026-07-01
825064,2026-07-01,2026-07-02T01:40:00Z,2026-07-01
