RELIEVER_APPEARANCE_ID,GAME_PK,FECHA,TEAM,OPP,HOME_AWAY,MLBAM_ID,PITCHER,ROLE,DAYS_REST,PREV_PITCHES,PREV_BF,PREV_OUTS,PITCHES_2D,PITCHES_3D,BF_2D,BF_3D,B2B,THREE_DAYS_3,CURRENT_PITCHES,CURRENT_BF,CURRENT_OUTS,R,ER,H,BB,K,HR,SOURCE_URL,QA_STATUS,PREV_ROLE,PREV_APPEARANCE_LEVEL,SAME_DAY_REPEAT,PITCHER_CLASS,PRIMARY_POSITION,PBP_SOURCE,BOXSCORE_SOURCE,PITCH_COUNT_MATCH,ENTRY_INNING,ENTRY_HALF,FIRST_PLAY_INDEX,LAST_PLAY_INDEX
824766-810938,824766,2026-07-17,TB,BOS,A,810938,Ben Williamson,RELIEF_OR_BULK,7.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,False,False,16,5,3,0,0,2,0,0,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-07-17.parquet,EXCLUIR_POSITION_PLAYER_PITCHING,RELIEF_OR_BULK,MLB,False,POSITION_PLAYER_PITCHING,2B,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-07-17.parquet,https://statsapi.mlb.com/api/v1.1/game/824766/feed/live,True,8,Bot,64,68
824901-543309,824901,2026-07-17,TEX,ATL,A,543309,Kyle Higashioka,RELIEF_OR_BULK,8.0,16.0,5.0,3.0,0.0,0.0,0.0,0.0,False,False,22,7,3,3,3,3,1,0,1,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-07-17.parquet,EXCLUIR_POSITION_PLAYER_PITCHING,RELIEF_OR_BULK,MLB,False,POSITION_PLAYER_PITCHING,C,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-07-17.parquet,https://statsapi.mlb.com/api/v1.1/game/824901/feed/live,True,8,Bot,71,77
824981-666126,824981,2026-07-17,ATH,WSH,H,666126,Carlos Cortes,RELIEF_OR_BULK,6.0,19.0,6.0,3.0,0.0,0.0,0.0,0.0,False,False,23,8,3,5,5,4,1,0,1,https://baseballsavant.mlb.com/statcast_search/csv?all=true&type=details&game_pk=824981,EXCLUIR_POSITION_PLAYER_PITCHING,RELIEF_OR_BULK,MLB,False,POSITION_PLAYER_PITCHING,RF,https://baseballsavant.mlb.com/statcast_search/csv?all=true&type=details&game_pk=824981,https://statsapi.mlb.com/api/v1.1/game/824981/feed/live,True,9,Top,77,84
824981-678391,824981,2026-07-17,WSH,ATH,A,678391,Jorbit Vivas,RELIEF_OR_BULK,59.0,12.0,6.0,2.0,0.0,0.0,0.0,0.0,False,False,10,6,3,2,1,3,0,0,1,https://baseballsavant.mlb.com/statcast_search/csv?all=true&type=details&game_pk=824981,EXCLUIR_POSITION_PLAYER_PITCHING,RELIEF_OR_BULK,MLB,False,POSITION_PLAYER_PITCHING,3B,https://baseballsavant.mlb.com/statcast_search/csv?all=true&type=details&game_pk=824981,https://statsapi.mlb.com/api/v1.1/game/824981/feed/live,True,9,Bot,85,90
