date,game_pk,pitcher_id,pitcher_name,team,all_positions,batting_order,reason,review_status,strict_reason
2026-04-02,825105,543510,James McCann,AZ,PH|P,201,NONSTARTER_WITH_BATTING_ORDER_OR_NON_P_POSITION,REVIEW_REQUIRED,NONSTARTER_HAS_NON_P_POSITION_IN_GAME
2026-04-06,822832,623168,Tyler Heineman,TOR,C|P,800,NONSTARTER_WITH_BATTING_ORDER_OR_NON_P_POSITION,REVIEW_REQUIRED,NONSTARTER_HAS_NON_P_POSITION_IN_GAME
