date,game_pk,team,match_excluding_er,sum_bf,sum_outs,sum_r,sum_h,sum_bb,sum_k,sum_hr,team_bf,team_outs,team_r,team_h,team_bb,team_k,team_hr,sum_er,team_er
2026-05-28,822896,HOU,True,36,27,1,4,3,8,1,36,27,1,4,3,8,1,1,1
2026-05-28,822896,TEX,True,34,27,5,6,2,7,2,34,27,5,6,2,7,2,5,5
2026-05-28,823378,CHC,True,37,27,2,6,5,8,1,37,27,2,6,5,8,1,2,2
2026-05-28,823378,PIT,True,42,27,7,8,6,14,1,42,27,7,8,6,14,1,4,4
2026-05-28,824272,LAA,True,36,27,1,3,7,9,1,36,27,1,3,7,9,1,1,1
2026-05-28,824272,DET,True,39,27,7,11,3,12,0,39,27,7,11,3,12,0,7,7
2026-05-28,824595,MIN,True,35,24,6,8,4,10,0,35,24,6,8,4,10,0,5,5
2026-05-28,824595,CWS,True,35,27,2,5,2,8,0,35,27,2,5,2,8,0,2,2
2026-05-28,824757,ATL,True,38,27,2,8,3,11,0,38,27,2,8,3,11,0,2,2
2026-05-28,824757,BOS,True,43,27,10,11,5,10,3,43,27,10,11,5,10,3,10,10
2026-05-28,824834,TOR,True,35,27,1,8,1,8,1,35,27,1,8,1,8,1,1,1
2026-05-28,824834,BAL,True,37,27,2,6,5,5,1,37,27,2,6,5,5,1,2,2
