RELIEVER_APPEARANCE_ID,GAME_PK,FECHA,TEAM,OPP,HOME_AWAY,MLBAM_ID,PITCHER,ROLE,DAYS_REST,PREV_PITCHES,PREV_BF,PREV_OUTS,PITCHES_2D,PITCHES_3D,BF_2D,BF_3D,B2B,THREE_DAYS_3,CURRENT_PITCHES,CURRENT_BF,CURRENT_OUTS,R,ER,H,BB,K,HR,RA9,ER9,WHIP,BB_PCT,K_PCT,HR9,WOBA_ALLOWED,SOURCE_URL,QA_STATUS,PREV_ROLE,PREV_APPEARANCE_LEVEL,SAME_DAY_REPEAT
824841-608650,824841,2026-05-13,BAL,NYY,H,608650,Dietrich Enns,RELIEF_OR_BULK,1.0,21.0,6.0,5.0,21.0,21.0,6.0,6.0,False,False,18,3,3,0,0,0,1,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v35_sheet01_0513.csv,QA_VALIDATED_PBP_V35,RELIEF_OR_BULK,MLB,False
824841-621112,824841,2026-05-13,NYY,BAL,A,621112,Paul Blackburn,RELIEF_OR_BULK,2.0,18.0,4.0,2.0,0.0,18.0,0.0,4.0,False,False,36,10,6,3,3,2,2,1,1,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v35_sheet01_0513.csv,QA_VALIDATED_PBP_V35,RELIEF_OR_BULK,MLB,False
824841-642232,824841,2026-05-13,NYY,BAL,A,642232,Ryan Yarbrough,RELIEF_OR_BULK,6.0,29.0,6.0,5.0,0.0,0.0,0.0,0.0,False,False,55,13,9,1,1,3,0,4,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v35_sheet01_0513.csv,QA_VALIDATED_PBP_V35,RELIEF_OR_BULK,MLB,False
824841-666974,824841,2026-05-13,BAL,NYY,H,666974,Yennier Cano,RELIEF_OR_BULK,0.0,10.0,3.0,3.0,10.0,10.0,3.0,3.0,True,False,10,4,3,0,0,0,1,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v35_sheet01_0513.csv,QA_VALIDATED_PBP_V35,RELIEF_OR_BULK,MLB,False
824841-669211,824841,2026-05-13,BAL,NYY,H,669211,Keegan Akin,RELIEF_OR_BULK,2.0,13.0,3.0,3.0,0.0,13.0,0.0,3.0,False,False,16,3,3,0,0,0,0,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v35_sheet01_0513.csv,QA_VALIDATED_PBP_V35,STARTER,MLB,False
824438-666171,824438,2026-05-13,LAA,CLE,A,666171,Ryan Zeferjahn,RELIEF_OR_BULK,2.0,15.0,3.0,3.0,0.0,15.0,0.0,3.0,False,False,19,4,3,0,0,1,0,2,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v35_sheet01_0513.csv,QA_VALIDATED_PBP_V35,RELIEF_OR_BULK,MLB,False
824438-670036,824438,2026-05-13,CLE,LAA,H,670036,Matt Festa,RELIEF_OR_BULK,1.0,28.0,6.0,3.0,28.0,28.0,6.0,6.0,False,False,4,1,1,0,0,0,0,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v35_sheet01_0513.csv,QA_VALIDATED_PBP_V35,RELIEF_OR_BULK,MLB,False
824438-671922,824438,2026-05-13,CLE,LAA,H,671922,Cade Smith,RELIEF_OR_BULK,0.0,18.0,4.0,4.0,18.0,18.0,4.0,4.0,True,False,14,3,3,0,0,0,0,3,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v35_sheet01_0513.csv,QA_VALIDATED_PBP_V35,RELIEF_OR_BULK,MLB,False
824438-681870,824438,2026-05-13,CLE,LAA,H,681870,Erik Sabrowski,RELIEF_OR_BULK,0.0,23.0,5.0,3.0,23.0,23.0,5.0,5.0,True,False,22,4,3,0,0,0,1,3,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v35_sheet01_0513.csv,QA_VALIDATED_PBP_V35,RELIEF_OR_BULK,MLB,False
824438-696147,824438,2026-05-13,LAA,CLE,A,696147,Sam Bachman,RELIEF_OR_BULK,2.0,5.0,1.0,1.0,0.0,5.0,0.0,1.0,False,False,20,4,4,0,0,0,0,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v35_sheet01_0513.csv,QA_VALIDATED_PBP_V35,RELIEF_OR_BULK,MLB,False
823386-622608,823386,2026-05-13,COL,PIT,A,622608,Antonio Senzatela,RELIEF_OR_BULK,5.0,23.0,8.0,6.0,0.0,0.0,0.0,0.0,False,False,26,10,9,1,1,1,0,2,1,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v35_sheet01_0513.csv,QA_VALIDATED_PBP_V35,RELIEF_OR_BULK,MLB,False
823386-657514,823386,2026-05-13,COL,PIT,A,657514,Brennan Bernardino,RELIEF_OR_BULK,4.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,False,False,9,3,3,0,0,0,0,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v35_sheet01_0513.csv,QA_VALIDATED_PBP_V35,RELIEF_OR_BULK,MLB,False
823386-664875,823386,2026-05-13,PIT,COL,H,664875,Justin Lawrence,RELIEF_OR_BULK,2.0,14.0,4.0,1.0,0.0,14.0,0.0,4.0,False,False,22,7,3,3,0,2,1,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v35_sheet01_0513.csv,QA_VALIDATED_PBP_V35,RELIEF_OR_BULK,MLB,False
823386-677955,823386,2026-05-13,COL,PIT,A,677955,Jaden Hill,RELIEF_OR_BULK,0.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,True,False,12,3,3,0,0,0,0,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v35_sheet01_0513.csv,QA_VALIDATED_PBP_V35,RELIEF_OR_BULK,MLB,False
823386-681895,823386,2026-05-13,PIT,COL,H,681895,Evan Sisk,RELIEF_OR_BULK,3.0,10.0,3.0,3.0,0.0,0.0,0.0,0.0,False,False,17,4,4,0,0,0,0,2,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v35_sheet01_0513.csv,QA_VALIDATED_PBP_V35,RELIEF_OR_BULK,MLB,False
823386-684049,823386,2026-05-13,PIT,COL,H,684049,Brandan Bidois,RELIEF_OR_BULK,,,,,,,,,,,14,4,3,1,1,2,0,0,1,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v35_sheet01_0513.csv,QA_VALIDATED_PBP_V35,,,
