game_pk,official_date,game_dt,query_dates
822713,2026-07-07,2026-07-07T22:45:00Z,2026-07-07
822881,2026-07-07,2026-07-08T00:05:00Z,2026-07-07
822956,2026-07-07,2026-07-07T22:40:00Z,2026-07-07
823035,2026-07-07,2026-07-07T23:45:00Z,2026-07-07
823062,2026-07-07,2026-07-07T18:15:00Z,2026-07-07
823203,2026-07-07,2026-07-08T01:45:00Z,2026-07-07
823280,2026-07-07,2026-07-08T01:40:00Z,2026-07-07
823361,2026-07-07,2026-07-07T22:40:00Z,2026-07-07
823607,2026-07-07,2026-07-07T23:10:00Z,2026-07-07
823687,2026-07-07,2026-07-07T23:40:00Z,2026-07-07
823847,2026-07-07,2026-07-07T22:40:00Z,2026-07-07
823929,2026-07-07,2026-07-08T02:10:00Z,2026-07-07
824254,2026-07-07,2026-07-07T22:40:00Z,2026-07-07
824495,2026-07-07,2026-07-07T23:10:00Z,2026-07-07
824579,2026-07-07,2026-07-07T23:40:00Z,2026-07-07
824820,2026-07-07,2026-07-07T22:35:00Z,2026-07-07
