game_pk,official_date,game_dt,query_dates
822780,2026-08-10,2026-08-10T23:07:00Z,2026-08-10
823018,2026-08-10,2026-08-10T23:45:00Z,2026-08-10
823189,2026-08-10,2026-08-11T01:45:00Z,2026-08-10
823265,2026-08-10,2026-08-11T01:40:00Z,2026-08-10
823675,2026-08-10,2026-08-10T23:40:00Z,2026-08-10
823918,2026-08-10,2026-08-11T02:10:00Z,2026-08-10
823998,2026-08-10,2026-08-11T01:38:00Z,2026-08-10
824887,2026-08-10,2026-08-10T23:15:00Z,2026-08-10
824969,2026-08-10,2026-08-11T01:40:00Z,2026-08-10
825048,2026-08-10,2026-08-11T01:40:00Z,2026-08-10
