game_pk,official_date,game_dt,query_dates
822782,2026-07-31,2026-07-31T23:07:00Z,2026-07-31
822945,2026-07-31,2026-07-31T23:10:00Z,2026-07-31
823111,2026-07-31,2026-08-01T02:10:00Z,2026-07-31
823272,2026-07-31,2026-08-01T01:45:00Z,2026-07-31
823593,2026-07-31,2026-07-31T23:10:00Z,2026-07-31
823922,2026-07-31,2026-08-01T02:10:00Z,2026-07-31
823999,2026-07-31,2026-08-01T01:38:00Z,2026-07-31
824164,2026-07-31,2026-08-01T00:15:00Z,2026-07-31
824325,2026-07-31,2026-08-01T00:40:00Z,2026-07-31
824407,2026-07-31,2026-07-31T23:10:00Z,2026-07-31
824486,2026-07-31,2026-07-31T22:10:00Z,2026-07-31
824651,2026-07-31,2026-07-31T18:20:00Z,2026-07-31
824809,2026-07-31,2026-07-31T23:05:00Z,2026-07-31
824892,2026-07-31,2026-07-31T23:15:00Z,2026-07-31
824975,2026-07-31,2026-08-01T01:40:00Z,2026-07-31
