game_pk,official_date,game_dt,query_dates
822828,2026-04-12,2026-04-12T17:37:00Z,2026-04-12
822998,2026-04-12,2026-04-12T17:40:00Z,2026-04-12
823075,2026-04-12,2026-04-12T18:15:00Z,2026-04-12
823154,2026-04-12,2026-04-12T20:10:00Z,2026-04-12
823317,2026-04-12,2026-04-12T20:10:00Z,2026-04-12
823479,2026-04-12,2026-04-12T17:35:00Z,2026-04-12
823642,2026-04-12,2026-04-12T17:40:00Z,2026-04-12
823804,2026-04-12,2026-04-12T18:10:00Z,2026-04-12
823966,2026-04-12,2026-04-12T20:10:00Z,2026-04-12
824126,2026-04-12,2026-04-12T18:10:00Z,2026-04-12
824293,2026-04-12,2026-04-12T17:40:00Z,2026-04-12
824533,2026-04-12,2026-04-12T17:40:00Z,2026-04-12
824696,2026-04-12,2026-04-12T18:20:00Z,2026-04-12
824859,2026-04-12,2026-04-12T17:35:00Z,2026-04-12
824938,2026-04-12,2026-04-12T23:20:00Z,2026-04-12
