game_pk,official_date,game_dt,query_dates
822748,2026-04-22,2026-04-22T22:45:00Z,2026-04-22
822913,2026-04-22,2026-04-23T00:05:00Z,2026-04-22
822993,2026-04-22,2026-04-22T17:10:00Z,2026-04-22
823147,2026-04-22,2026-04-22T20:10:00Z,2026-04-22
823231,2026-04-22,2026-04-23T01:45:00Z,2026-04-22
823641,2026-04-22,2026-04-22T23:10:00Z,2026-04-22
823878,2026-04-22,2026-04-22T16:10:00Z,2026-04-22
824044,2026-04-22,2026-04-22T19:07:00Z,2026-04-22
824123,2026-04-22,2026-04-22T18:10:00Z,2026-04-22
824286,2026-04-22,2026-04-22T22:40:00Z,2026-04-22
824367,2026-04-22,2026-04-23T00:40:00Z,2026-04-22
824449,2026-04-22,2026-04-22T17:10:00Z,2026-04-22
824688,2026-04-22,2026-04-22T23:40:00Z,2026-04-22
824774,2026-04-22,2026-04-22T22:45:00Z,2026-04-22
825097,2026-04-22,2026-04-23T01:40:00Z,2026-04-22
