game_pk,pitcher_id,boxscore_np,games_pitched,savant_pitches,_merge,match
822785,643511,9,1,9,both,True
822785,668984,40,1,40,both,True
822785,669456,86,1,86,both,True
822785,686973,15,1,15,both,True
822785,693855,87,1,87,both,True
823042,657044,29,1,29,both,True
823042,664199,6,1,6,both,True
823042,677865,15,1,15,both,True
823042,694297,87,1,87,both,True
823042,694335,37,1,37,both,True
823042,700241,95,1,95,both,True
823042,700669,30,1,30,both,True
823042,805299,11,1,11,both,True
824247,621097,4,1,4,both,True
824247,621381,17,1,17,both,True
824247,623454,18,1,18,both,True
824247,640448,2,1,2,both,True
824247,663947,26,1,26,both,True
824247,670167,20,1,20,both,True
824247,674444,29,1,29,both,True
824247,675512,90,1,90,both,True
824247,677976,76,1,76,both,True
824247,805427,11,1,11,both,True
824406,573124,13,1,13,both,True
824406,667297,13,1,13,both,True
824406,668909,97,1,97,both,True
824406,670059,21,1,21,both,True
824406,671737,109,1,109,both,True
824406,671922,22,1,22,both,True
824406,672782,22,1,22,both,True
824406,681252,18,1,18,both,True
824406,681870,17,1,17,both,True
824406,683769,16,1,16,both,True
824406,702193,16,1,16,both,True
824893,519242,98,1,98,both,True
824893,606996,8,1,8,both,True
824893,628452,17,1,17,both,True
824893,641755,13,1,13,both,True
824893,656288,59,1,59,both,True
824893,663362,30,1,30,both,True
824893,664849,4,1,4,both,True
824893,673513,17,1,17,both,True
824893,689266,15,1,15,both,True
824893,699134,12,1,12,both,True
