game_pk,official_date,game_dt,query_dates
822815,2026-05-13,2026-05-13T23:07:00Z,2026-05-13
822900,2026-05-13,2026-05-14T00:05:00Z,2026-05-13
823386,2026-05-13,2026-05-13T22:40:00Z,2026-05-13
823631,2026-05-13,2026-05-13T23:10:00Z,2026-05-13
823710,2026-05-13,2026-05-13T23:40:00Z,2026-05-13
823791,2026-05-13,2026-05-13T23:40:00Z,2026-05-13
823952,2026-05-13,2026-05-14T02:10:00Z,2026-05-13
824195,2026-05-13,2026-05-14T00:10:00Z,2026-05-13
824438,2026-05-13,2026-05-13T17:10:00Z,2026-05-13
824519,2026-05-13,2026-05-13T22:40:00Z,2026-05-13
824603,2026-05-13,2026-05-13T23:40:00Z,2026-05-13
824763,2026-05-13,2026-05-13T22:45:00Z,2026-05-13
824841,2026-05-13,2026-05-13T17:05:00Z,2026-05-13
824928,2026-05-13,2026-05-13T23:15:00Z,2026-05-13
825010,2026-05-13,2026-05-14T01:40:00Z,2026-05-13
