game_pk,official_date,game_dt,query_dates
822751,2026-04-18,2026-04-18T20:05:00Z,2026-04-18
823151,2026-04-18,2026-04-18T23:15:00Z,2026-04-18
823394,2026-04-18,2026-04-18T19:30:00Z,2026-04-18
823474,2026-04-18,2026-04-18T23:15:00Z,2026-04-18
823558,2026-04-18,2026-04-18T17:35:00Z,2026-04-18
823721,2026-04-18,2026-04-18T18:10:00Z,2026-04-18
823882,2026-04-18,2026-04-18T20:10:00Z,2026-04-18
824049,2026-04-18,2026-04-19T01:38:00Z,2026-04-18
824206,2026-04-18,2026-04-18T23:10:00Z,2026-04-18
824372,2026-04-18,2026-04-19T00:10:00Z,2026-04-18
824451,2026-04-18,2026-04-18T22:10:00Z,2026-04-18
824694,2026-04-18,2026-04-18T18:20:00Z,2026-04-18
824775,2026-04-18,2026-04-18T20:10:00Z,2026-04-18
825020,2026-04-18,2026-04-18T20:05:00Z,2026-04-18
825098,2026-04-18,2026-04-19T00:10:00Z,2026-04-18
