game_pk,official_date,game_dt,query_dates
822860,2026-08-19,2026-08-20T00:05:00Z,2026-08-19
822937,2026-08-19,2026-08-19T22:40:00Z,2026-08-19
823342,2026-08-19,2026-08-19T16:35:00Z,2026-08-19
823424,2026-08-19,2026-08-19T22:05:00Z,2026-08-19
823587,2026-08-19,2026-08-19T17:10:00Z,2026-08-19
823664,2026-08-19,2026-08-19T17:40:00Z,2026-08-19
823748,2026-08-19,2026-08-19T23:40:00Z,2026-08-19
824076,2026-08-19,2026-08-19T23:40:00Z,2026-08-19
824155,2026-08-19,2026-08-20T00:10:00Z,2026-08-19
824318,2026-08-19,2026-08-20T00:40:00Z,2026-08-19
824394,2026-08-19,2026-08-19T22:40:00Z,2026-08-19
824476,2026-08-19,2026-08-19T22:40:00Z,2026-08-19
824640,2026-08-19,2026-08-19T18:20:00Z,2026-08-19
824722,2026-08-19,2026-08-19T20:10:00Z,2026-08-19
824801,2026-08-19,2026-08-19T22:35:00Z,2026-08-19
