game_pk,official_date,game_dt,query_dates
822725,2026-06-13,2026-06-13T20:05:00Z,2026-06-13
822802,2026-06-13,2026-06-13T19:07:00Z,2026-06-13
823213,2026-06-13,2026-06-14T02:05:00Z,2026-06-13
823369,2026-06-13,2026-06-13T20:05:00Z,2026-06-13
823616,2026-06-13,2026-06-13T20:10:00Z,2026-06-13
823694,2026-06-13,2026-06-13T18:10:00Z,2026-06-13
823776,2026-06-13,2026-06-13T23:10:00Z,2026-06-13
824019,2026-06-13,2026-06-14T02:07:00Z,2026-06-13
824100,2026-06-13,2026-06-13T23:10:00Z,2026-06-13
824426,2026-06-13,2026-06-13T20:10:00Z,2026-06-13
824508,2026-06-13,2026-06-13T20:10:00Z,2026-06-13
824587,2026-06-13,2026-06-13T20:10:00Z,2026-06-13
824749,2026-06-13,2026-06-13T20:10:00Z,2026-06-13
824828,2026-06-13,2026-06-13T20:05:00Z,2026-06-13
824995,2026-06-13,2026-06-14T02:05:00Z,2026-06-13
