RELIEVER_APPEARANCE_ID,GAME_PK,FECHA,TEAM,OPP,HOME_AWAY,MLBAM_ID,PITCHER,ROLE,DAYS_REST,PREV_PITCHES,PREV_BF,PREV_OUTS,PITCHES_2D,PITCHES_3D,BF_2D,BF_3D,B2B,THREE_DAYS_3,CURRENT_PITCHES,CURRENT_BF,CURRENT_OUTS,R,ER,H,BB,K,HR,RA9,ER9,WHIP,BB_PCT,K_PCT,HR9,WOBA_ALLOWED,SOURCE_URL,QA_STATUS,PREV_ROLE,PREV_APPEARANCE_LEVEL,SAME_DAY_REPEAT
824673-571948,824673,2026-06-05,CHC,SF,H,571948,Hoby Milner,RELIEF_OR_BULK,1.0,11.0,2.0,2.0,11.0,27.0,2.0,7.0,False,False,22,7,1,6,6,5,0,0,1,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v58_sheet01_0605.csv,QA_VALIDATED_PBP_V58,RELIEF_OR_BULK,MLB,False
824673-573204,824673,2026-06-05,CHC,SF,H,573204,Caleb Thielbar,RELIEF_OR_BULK,1.0,16.0,4.0,2.0,16.0,16.0,4.0,4.0,False,False,13,3,3,0,0,0,0,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v58_sheet01_0605.csv,QA_VALIDATED_PBP_V58,RELIEF_OR_BULK,MLB,False
824673-664208,824673,2026-06-05,CHC,SF,H,664208,Phil Maton,RELIEF_OR_BULK,1.0,12.0,2.0,1.0,12.0,12.0,2.0,2.0,False,False,27,6,4,1,1,1,1,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v58_sheet01_0605.csv,QA_VALIDATED_PBP_V58,RELIEF_OR_BULK,MLB,False
824673-681799,824673,2026-06-05,CHC,SF,H,681799,Ethan Roberts,RELIEF_OR_BULK,1.0,8.0,3.0,2.0,8.0,8.0,3.0,3.0,False,False,29,8,5,1,1,3,0,2,1,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v58_sheet01_0605.csv,QA_VALIDATED_PBP_V58,RELIEF_OR_BULK,MLB,False
824673-681916,824673,2026-06-05,SF,CHC,A,681916,Dylan Smith,RELIEF_OR_BULK,25.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,False,False,12,3,3,0,0,0,0,2,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v58_sheet01_0605.csv,QA_VALIDATED_PBP_V58,RELIEF_OR_BULK,MLB,False
824673-693313,824673,2026-06-05,SF,CHC,A,693313,Carson Seymour,RELIEF_OR_BULK,,,,,,,,,,,45,15,9,3,3,6,1,1,1,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v58_sheet01_0605.csv,QA_VALIDATED_PBP_V58,,,
823455-622554,823455,2026-06-05,CWS,PHI,A,622554,Seranthony Domínguez,RELIEF_OR_BULK,5.0,15.0,3.0,3.0,0.0,0.0,0.0,0.0,False,False,11,2,1,0,0,0,1,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v58_sheet01_0605.csv,QA_VALIDATED_PBP_V58,RELIEF_OR_BULK,MLB,False
823455-641745,823455,2026-06-05,PHI,CWS,H,641745,Brad Keller,RELIEF_OR_BULK,1.0,22.0,7.0,3.0,22.0,34.0,7.0,11.0,False,False,15,4,3,0,0,1,0,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v58_sheet01_0605.csv,QA_VALIDATED_PBP_V58,RELIEF_OR_BULK,MLB,False
823455-661395,823455,2026-06-05,PHI,CWS,H,661395,Jhoan Duran,RELIEF_OR_BULK,1.0,16.0,3.0,3.0,16.0,30.0,3.0,6.0,False,False,16,3,3,0,0,0,0,2,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v58_sheet01_0605.csv,QA_VALIDATED_PBP_V58,RELIEF_OR_BULK,MLB,False
823455-663542,823455,2026-06-05,CWS,PHI,A,663542,Bryan Hudson,RELIEF_OR_BULK,4.0,17.0,5.0,4.0,0.0,0.0,0.0,0.0,False,False,16,5,2,2,2,2,1,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v58_sheet01_0605.csv,QA_VALIDATED_PBP_V58,RELIEF_OR_BULK,MLB,False
823455-670950,823455,2026-06-05,CWS,PHI,A,670950,Trevor Richards,RELIEF_OR_BULK,2.0,22.0,5.0,5.0,0.0,22.0,0.0,5.0,False,False,15,4,3,0,0,1,0,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v58_sheet01_0605.csv,QA_VALIDATED_PBP_V58,RELIEF_OR_BULK,MLB,False
823455-680742,823455,2026-06-05,PHI,CWS,H,680742,Jonathan Bowlan,RELIEF_OR_BULK,8.0,18.0,3.0,3.0,0.0,0.0,0.0,0.0,False,False,21,5,3,1,0,2,0,2,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v58_sheet01_0605.csv,QA_VALIDATED_PBP_V58,RELIEF_OR_BULK,MLB,False
823455-685126,823455,2026-06-05,CWS,PHI,A,685126,Brandon Eisert,RELIEF_OR_BULK,3.0,14.0,3.0,3.0,0.0,0.0,0.0,0.0,False,False,11,3,3,0,0,0,0,2,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v58_sheet01_0605.csv,QA_VALIDATED_PBP_V58,RELIEF_OR_BULK,MLB,False
