game_pk,official_date,game_dt,query_dates
822795,2026-06-28,2026-06-28T17:37:00Z,2026-06-28
822959,2026-06-28,2026-06-28T17:40:00Z,2026-06-28
823037,2026-06-28,2026-06-28T18:15:00Z,2026-06-28
823204,2026-06-28,2026-06-28T20:05:00Z,2026-06-28
823281,2026-06-28,2026-06-28T20:10:00Z,2026-06-28
823362,2026-06-28,2026-06-28T17:35:00Z,2026-06-28
823608,2026-06-28,2026-06-28T17:40:00Z,2026-06-28
823686,2026-06-28,2026-06-28T18:10:00Z,2026-06-28
823769,2026-06-28,2026-06-28T18:10:00Z,2026-06-28
824011,2026-06-28,2026-06-28T19:15:00Z,2026-06-28
824256,2026-06-28,2026-06-28T17:40:00Z,2026-06-28
824422,2026-06-28,2026-06-28T17:40:00Z,2026-06-28
824580,2026-06-28,2026-06-28T18:10:00Z,2026-06-28
824744,2026-06-28,2026-06-28T23:20:00Z,2026-06-28
824821,2026-06-28,2026-06-28T17:35:00Z,2026-06-28
