game_pk,official_date,game_dt,query_dates
822793,2026-06-30,2026-06-30T23:07:00Z,2026-06-30
823122,2026-06-30,2026-07-01T01:40:00Z,2026-06-30
823445,2026-06-30,2026-06-30T22:40:00Z,2026-06-30
823528,2026-06-30,2026-06-30T23:05:00Z,2026-06-30
823768,2026-06-30,2026-06-30T23:40:00Z,2026-06-30
824096,2026-06-30,2026-06-30T23:40:00Z,2026-06-30
824175,2026-06-30,2026-07-01T00:10:00Z,2026-06-30
824338,2026-06-30,2026-07-01T00:40:00Z,2026-06-30
824418,2026-06-30,2026-06-30T22:40:00Z,2026-06-30
824661,2026-06-30,2026-07-01T00:05:00Z,2026-06-30
824742,2026-06-30,2026-06-30T23:10:00Z,2026-06-30
824819,2026-06-30,2026-06-30T22:35:00Z,2026-06-30
824907,2026-06-30,2026-06-30T23:15:00Z,2026-06-30
824984,2026-06-30,2026-07-01T01:40:00Z,2026-06-30
825066,2026-06-30,2026-07-01T01:40:00Z,2026-06-30
