RELIEVER_APPEARANCE_ID,GAME_PK,FECHA,TEAM,OPP,HOME_AWAY,MLBAM_ID,PITCHER,ROLE,DAYS_REST,PREV_PITCHES,PREV_BF,PREV_OUTS,PITCHES_2D,PITCHES_3D,BF_2D,BF_3D,B2B,THREE_DAYS_3,CURRENT_PITCHES,CURRENT_BF,CURRENT_OUTS,R,ER,H,BB,K,HR,RA9,ER9,WHIP,BB_PCT,K_PCT,HR9,WOBA_ALLOWED,SOURCE_URL,QA_STATUS,PREV_ROLE,PREV_APPEARANCE_LEVEL,SAME_DAY_REPEAT
824651-621053,824651,2026-07-31,CHC,NYY,H,621053,Tyler Ferguson,RELIEF_OR_BULK,2.0,14.0,3.0,3.0,0.0,14.0,0.0,3.0,False,False,24,5,3,0,0,0,2,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v111_sheet01_0731.csv,QA_VALIDATED_PBP_V111,RELIEF_OR_BULK,MLB,False
824651-621112,824651,2026-07-31,NYY,CHC,A,621112,Paul Blackburn,RELIEF_OR_BULK,1.0,24.0,8.0,5.0,24.0,24.0,8.0,8.0,False,False,19,4,4,0,0,0,0,3,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v111_sheet01_0731.csv,QA_VALIDATED_PBP_V111,RELIEF_OR_BULK,MLB,False
824651-670280,824651,2026-07-31,NYY,CHC,A,670280,David Bednar,RELIEF_OR_BULK,2.0,25.0,5.0,3.0,0.0,25.0,0.0,5.0,False,False,11,4,3,0,0,1,0,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v111_sheet01_0731.csv,QA_VALIDATED_PBP_V111,RELIEF_OR_BULK,MLB,False
824651-681520,824651,2026-07-31,CHC,NYY,H,681520,Antoine Kelly,RELIEF_OR_BULK,,,,,,,,,,,18,4,4,0,0,0,1,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v111_sheet01_0731.csv,QA_VALIDATED_PBP_V111,,,
824486-572955,824486,2026-07-31,CIN,PIT,H,572955,Pierce Johnson,RELIEF_OR_BULK,1.0,10.0,4.0,3.0,10.0,22.0,4.0,7.0,False,False,17,5,2,1,1,3,0,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v111_sheet01_0731.csv,QA_VALIDATED_PBP_V111,RELIEF_OR_BULK,MLB,False
824486-594580,824486,2026-07-31,CIN,PIT,H,594580,Sam Moll,RELIEF_OR_BULK,2.0,27.0,6.0,3.0,0.0,27.0,0.0,6.0,False,False,16,3,2,0,0,0,1,2,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v111_sheet01_0731.csv,QA_VALIDATED_PBP_V111,RELIEF_OR_BULK,MLB,False
824486-641941,824486,2026-07-31,CIN,PIT,H,641941,Emilio Pagán,RELIEF_OR_BULK,0.0,16.0,4.0,3.0,16.0,33.0,4.0,8.0,True,False,14,4,3,0,0,0,0,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v111_sheet01_0731.csv,QA_VALIDATED_PBP_V111,RELIEF_OR_BULK,MLB,False
824486-657571,824486,2026-07-31,CIN,PIT,H,657571,Caleb Ferguson,RELIEF_OR_BULK,1.0,7.0,2.0,2.0,7.0,34.0,2.0,9.0,False,False,7,3,1,2,2,2,0,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v111_sheet01_0731.csv,QA_VALIDATED_PBP_V111,RELIEF_OR_BULK,MLB,False
824486-670062,824486,2026-07-31,CIN,PIT,H,670062,Julian Garcia,RELIEF_OR_BULK,1.0,27.0,7.0,5.0,27.0,45.0,7.0,13.0,False,False,1,1,1,0,0,0,0,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v111_sheet01_0731.csv,QA_VALIDATED_PBP_V111,RELIEF_OR_BULK,MLB,False
824486-682254,824486,2026-07-31,PIT,CIN,A,682254,Mason Montgomery,RELIEF_OR_BULK,0.0,7.0,3.0,3.0,7.0,7.0,3.0,3.0,True,False,12,4,2,0,0,0,1,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v111_sheet01_0731.csv,QA_VALIDATED_PBP_V111,RELIEF_OR_BULK,MLB,False
