game_pk,pitcher_id,boxscore_np,games_pitched,savant_pitches,_merge,match
822725,622491,84,1,84,both,True
822725,642100,5,1,5,both,True
822725,660825,15,1,15,both,True
822725,663992,20,1,20,both,True
822725,676571,15,1,15,both,True
822725,676917,81,1,81,both,True
822725,678606,10,1,10,both,True
822725,687377,11,1,11,both,True
822725,695380,12,1,12,both,True
822725,695418,23,1,23,both,True
822802,518585,24,1,24,both,True
822802,592332,105,1,105,both,True
822802,643511,22,1,22,both,True
822802,670280,13,1,13,both,True
822802,686973,13,1,13,both,True
822802,693645,101,1,101,both,True
823213,573204,23,1,23,both,True
823213,656529,17,1,17,both,True
823213,664208,21,1,21,both,True
823213,665665,30,1,30,both,True
823213,668873,15,1,15,both,True
823213,676254,11,1,11,both,True
823213,676962,86,1,86,both,True
823213,681799,20,1,20,both,True
823213,681916,22,1,22,both,True
823213,686790,92,1,92,both,True
823369,642397,13,1,13,both,True
823369,656848,29,1,29,both,True
823369,667463,11,1,11,both,True
823369,669199,42,1,42,both,True
823369,669622,27,1,27,both,True
823369,670990,23,1,23,both,True
823369,676534,15,1,15,both,True
823369,682254,15,1,15,both,True
823369,696149,84,1,84,both,True
823369,806188,22,1,22,both,True
823616,527048,71,1,71,both,True
823616,628452,16,1,16,both,True
823616,640455,84,1,84,both,True
823616,650960,13,1,13,both,True
823616,663158,14,1,14,both,True
823616,669276,7,1,7,both,True
823616,681810,40,1,40,both,True
823616,800311,13,1,13,both,True
823694,592773,9,1,9,both,True
823694,664875,24,1,24,both,True
823694,668941,4,1,4,both,True
823694,669461,70,1,70,both,True
823694,676617,31,1,31,both,True
823694,687570,98,1,98,both,True
823694,688297,14,1,14,both,True
823694,694335,15,1,15,both,True
823694,701519,37,1,37,both,True
823776,605400,85,1,85,both,True
823776,621237,15,1,15,both,True
823776,641745,32,1,32,both,True
823776,641835,5,1,5,both,True
823776,656730,16,1,16,both,True
823776,661395,11,1,11,both,True
823776,669270,12,1,12,both,True
823776,675660,78,1,78,both,True
823776,680723,32,1,32,both,True
823776,689147,17,1,17,both,True
823776,694477,39,1,39,both,True
824019,489446,9,1,9,both,True
824019,518886,17,1,17,both,True
824019,592155,24,1,24,both,True
824019,608718,16,1,16,both,True
824019,642121,39,1,39,both,True
824019,643377,63,1,63,both,True
824019,664076,10,1,10,both,True
824019,667755,76,1,76,both,True
824019,696519,29,1,29,both,True
824100,621381,8,1,8,both,True
824100,650556,8,1,8,both,True
824100,656638,31,1,31,both,True
824100,660853,16,1,16,both,True
824100,663738,13,1,13,both,True
824100,670167,28,1,28,both,True
824100,681347,92,1,92,both,True
824100,687911,17,1,17,both,True
824100,695001,15,1,15,both,True
824100,702070,86,1,86,both,True
824426,445276,9,1,9,both,True
824426,640448,15,1,15,both,True
824426,663947,6,1,6,both,True
824426,669373,80,1,80,both,True
824426,670059,15,1,15,both,True
824426,671922,31,1,31,both,True
824426,676282,79,1,79,both,True
824426,682120,13,1,13,both,True
824426,683769,17,1,17,both,True
824508,647336,93,1,93,both,True
824508,657571,20,1,20,both,True
824508,663574,14,1,14,both,True
824508,666661,15,1,15,both,True
824508,695076,96,1,96,both,True
824508,695534,26,1,26,both,True
824587,680732,92,1,92,both,True
824587,681911,8,1,8,both,True
824587,685126,27,1,27,both,True
824587,697812,60,1,60,both,True
824587,699823,9,1,9,both,True
824587,808967,109,1,109,both,True
824749,543056,6,1,6,both,True
824749,547973,15,1,15,both,True
824749,594027,18,1,18,both,True
824749,594798,90,1,90,both,True
824749,624133,97,1,97,both,True
824749,668390,18,1,18,both,True
824749,676477,11,1,11,both,True
824749,682608,19,1,19,both,True
824749,686580,16,1,16,both,True
824749,695239,19,1,19,both,True
824828,544150,38,1,38,both,True
824828,592094,16,1,16,both,True
824828,669211,12,1,12,both,True
824828,670970,2,1,2,both,True
824828,673513,14,1,14,both,True
824828,676760,4,1,4,both,True
824828,681190,100,1,100,both,True
824828,694346,93,1,93,both,True
824828,699134,16,1,16,both,True
824995,605130,12,1,12,both,True
824995,607536,95,1,95,both,True
824995,643410,13,1,13,both,True
824995,660761,22,1,22,both,True
824995,665660,19,1,19,both,True
824995,675848,18,1,18,both,True
824995,677955,16,1,16,both,True
824995,678020,25,1,25,both,True
824995,683155,71,1,71,both,True
