game_pk,pitcher_id,boxscore_np,games_pitched,savant_pitches,_merge,match
823371,642701,16,1,16,both,True
823371,656605,98,1,98,both,True
823371,656945,18,1,18,both,True
823371,670990,35,1,35,both,True
823371,676263,11,1,11,both,True
823371,680736,80,1,80,both,True
823371,681895,31,1,31,both,True
823371,681911,4,1,4,both,True
823371,683618,15,1,15,both,True
823371,684049,29,1,29,both,True
823371,694361,22,1,22,both,True
823619,548384,20,1,20,both,True
823619,596133,11,1,11,both,True
823619,621345,14,1,14,both,True
823619,642207,16,1,16,both,True
823619,666277,8,1,8,both,True
823619,668941,23,1,23,both,True
823619,677865,10,1,10,both,True
823619,681035,88,1,88,both,True
823619,690928,88,1,88,both,True
823619,700669,9,1,9,both,True
823855,518876,74,1,74,both,True
823855,623149,16,1,16,both,True
823855,656848,14,1,14,both,True
823855,663969,70,1,70,both,True
823855,664126,13,1,13,both,True
823855,669622,19,1,19,both,True
823855,676534,13,1,13,both,True
823855,805299,15,1,15,both,True
824101,608379,102,1,102,both,True
824101,656641,15,1,15,both,True
824101,668390,12,1,12,both,True
824101,677958,83,1,83,both,True
824101,694360,32,1,32,both,True
824101,695239,14,1,14,both,True
824265,656577,15,1,15,both,True
824265,663947,25,1,25,both,True
824265,672456,96,1,96,both,True
824265,689225,8,1,8,both,True
824265,689520,32,1,32,both,True
824265,805673,81,1,81,both,True
824346,571948,10,1,10,both,True
824346,621053,26,1,26,both,True
824346,663372,75,1,75,both,True
824346,664208,8,1,8,both,True
824346,665795,83,1,83,both,True
824346,669020,17,1,17,both,True
824346,671111,26,1,26,both,True
824346,680604,46,1,46,both,True
824827,552640,6,1,6,both,True
824827,664991,7,1,7,both,True
824827,669330,39,1,39,both,True
824827,670329,16,1,16,both,True
824827,680694,85,1,85,both,True
824827,689546,18,1,18,both,True
824827,693433,82,1,82,both,True
824827,695380,28,1,28,both,True
