game_pk,official_date,game_dt,query_dates
822796,2026-06-26,2026-06-26T23:07:00Z,2026-06-26
822962,2026-06-26,2026-06-26T23:10:00Z,2026-06-26
823039,2026-06-26,2026-06-27T00:15:00Z,2026-06-26
823206,2026-06-26,2026-06-27T02:15:00Z,2026-06-26
823285,2026-06-26,2026-06-27T01:45:00Z,2026-06-26
823363,2026-06-26,2026-06-26T22:40:00Z,2026-06-26
823610,2026-06-26,2026-06-26T23:10:00Z,2026-06-26
823688,2026-06-26,2026-06-27T00:10:00Z,2026-06-26
823773,2026-06-26,2026-06-26T23:45:00Z,2026-06-26
824014,2026-06-26,2026-06-27T01:38:00Z,2026-06-26
824255,2026-06-26,2026-06-26T22:40:00Z,2026-06-26
824423,2026-06-26,2026-06-26T23:10:00Z,2026-06-26
824582,2026-06-26,2026-06-26T23:40:00Z,2026-06-26
824743,2026-06-26,2026-06-26T23:10:00Z,2026-06-26
824824,2026-06-26,2026-06-26T23:05:00Z,2026-06-26
