game_pk,official_date,game_dt,query_dates
822718,2026-06-23,2026-06-23T22:45:00Z,2026-06-23
822799,2026-06-23,2026-06-23T20:07:00Z,2026-06-23
822963,2026-06-23,2026-06-23T22:40:00Z,2026-06-23
823043,2026-06-23,2026-06-23T23:45:00Z,2026-06-23
823210,2026-06-23,2026-06-24T01:45:00Z,2026-06-23
823286,2026-06-23,2026-06-24T01:40:00Z,2026-06-23
823365,2026-06-23,2026-06-23T22:40:00Z,2026-06-23
823614,2026-06-23,2026-06-23T23:10:00Z,2026-06-23
823690,2026-06-23,2026-06-23T23:40:00Z,2026-06-23
823849,2026-06-23,2026-06-23T22:40:00Z,2026-06-23
824017,2026-06-23,2026-06-24T01:38:00Z,2026-06-23
824262,2026-06-23,2026-06-23T22:40:00Z,2026-06-23
824340,2026-06-23,2026-06-24T00:40:00Z,2026-06-23
824501,2026-06-23,2026-06-23T23:10:00Z,2026-06-23
824584,2026-06-23,2026-06-23T23:40:00Z,2026-06-23
