game_pk,pitcher_id,boxscore_np,games_pitched,savant_pitches,_merge,match
822821,573009,10,1,10,both,True
822821,641778,68,1,68,both,True
822821,663558,39,1,39,both,True
822821,667297,7,1,7,both,True
822821,669711,13,1,13,both,True
822821,676477,15,1,15,both,True
822821,678394,63,1,63,both,True
822821,680755,17,1,17,both,True
822821,693686,26,1,26,both,True
822907,518585,21,1,21,both,True
822907,543135,102,1,102,both,True
822907,656234,15,1,15,both,True
822907,656641,27,1,27,both,True
822907,657612,3,1,3,both,True
822907,687396,22,1,22,both,True
822907,695684,80,1,80,both,True
823312,571948,3,1,3,both,True
823312,592094,25,1,25,both,True
823312,592791,95,1,95,both,True
823312,656686,19,1,19,both,True
823312,663362,83,1,83,both,True
823312,670970,16,1,16,both,True
823312,676962,11,1,11,both,True
823312,695243,19,1,19,both,True
823312,699134,22,1,22,both,True
823392,592773,22,1,22,both,True
823392,606965,14,1,14,both,True
823392,642701,9,1,9,both,True
823392,666277,29,1,29,both,True
823392,668941,17,1,17,both,True
823392,669467,91,1,91,both,True
823392,670990,16,1,16,both,True
823392,676617,11,1,11,both,True
823392,681895,27,1,27,both,True
823392,696149,85,1,85,both,True
823633,605218,50,1,50,both,True
823633,640455,73,1,73,both,True
823633,656849,80,1,80,both,True
823633,672335,16,1,16,both,True
823633,676571,10,1,10,both,True
823633,676917,97,1,97,both,True
823633,687606,14,1,14,both,True
823717,573124,13,1,13,both,True
823717,607455,22,1,22,both,True
823717,642100,30,1,30,both,True
823717,660825,10,1,10,both,True
823717,662253,15,1,15,both,True
823717,666374,2,1,2,both,True
823717,669923,97,1,97,both,True
823717,671737,114,1,114,both,True
823717,678606,11,1,11,both,True
823717,679358,28,1,28,both,True
823717,681867,3,1,3,both,True
823796,593958,87,1,87,both,True
823796,623149,13,1,13,both,True
823796,656464,26,1,26,both,True
823796,664199,14,1,14,both,True
823796,666661,14,1,14,both,True
823796,669084,42,1,42,both,True
823796,681982,25,1,25,both,True
823796,687075,82,1,82,both,True
823796,702153,24,1,24,both,True
823958,607192,92,1,92,both,True
823958,645261,104,1,104,both,True
823958,667463,15,1,15,both,True
823958,669165,5,1,5,both,True
823958,676534,16,1,16,both,True
823958,677053,12,1,12,both,True
823958,681911,5,1,5,both,True
823958,694361,26,1,26,both,True
824445,656876,91,1,91,both,True
824445,668909,95,1,95,both,True
824445,668984,18,1,18,both,True
824445,671922,12,1,12,both,True
824445,672782,29,1,29,both,True
824445,681870,5,1,5,both,True
824525,608372,91,1,91,both,True
824525,623474,26,1,26,both,True
824525,624431,20,1,20,both,True
824525,657514,21,1,21,both,True
824525,675848,15,1,15,both,True
824525,682227,58,1,58,both,True
824525,682825,32,1,32,both,True
824525,683742,41,1,41,both,True
824608,519141,6,1,6,both,True
824608,579328,35,1,35,both,True
824608,607200,103,1,103,both,True
824608,622554,16,1,16,both,True
824608,663542,20,1,20,both,True
824608,666171,36,1,36,both,True
824608,681217,13,1,13,both,True
824608,696147,14,1,14,both,True
824608,699823,3,1,3,both,True
824608,815083,62,1,62,both,True
824930,445276,11,1,11,both,True
824930,625643,17,1,17,both,True
824930,640448,29,1,29,both,True
824930,669276,28,1,28,both,True
824930,669373,91,1,91,both,True
824930,702275,97,1,97,both,True
825015,608379,105,1,105,both,True
825015,622663,103,1,103,both,True
825015,643410,11,1,11,both,True
825015,656638,15,1,15,both,True
825015,669270,31,1,31,both,True
825015,679883,20,1,20,both,True
825015,696131,20,1,20,both,True
