date,game_pk,team,match_excluding_er,sum_bf,sum_outs,sum_r,sum_h,sum_bb,sum_k,sum_hr,team_bf,team_outs,team_r,team_h,team_bb,team_k,team_hr,sum_er,team_er
2026-05-10,822819,LAA,True,33,27,1,5,1,9,0,33,27,1,5,1,9,0,1,1
2026-05-10,822819,TOR,True,35,27,6,7,2,6,3,35,27,6,7,2,6,3,6,6
2026-05-10,822902,CHC,True,33,24,3,7,2,7,1,33,24,3,7,2,7,1,3,3
2026-05-10,822902,TEX,True,30,27,0,3,0,11,0,30,27,0,3,0,11,0,0,0
2026-05-10,823221,PIT,True,54,34,7,13,5,8,1,54,34,7,13,5,8,1,5,5
2026-05-10,823221,SF,True,52,36,6,7,9,9,2,52,36,6,7,9,9,2,5,5
2026-05-10,823305,STL,True,39,28,3,4,7,13,1,39,28,3,4,7,13,1,2,2
2026-05-10,823305,SD,True,34,30,2,3,1,7,1,34,30,2,3,1,7,1,2,2
2026-05-10,823463,COL,True,35,24,6,10,2,3,3,35,24,6,10,2,3,3,6,6
2026-05-10,823463,PHI,True,33,27,0,6,0,10,0,33,27,0,6,0,10,0,0,0
2026-05-10,823793,NYY,True,38,26,4,6,6,12,1,38,26,4,6,6,12,1,4,4
2026-05-10,823793,MIL,True,36,27,3,6,5,10,1,36,27,3,6,5,10,1,3,3
2026-05-10,823868,WSH,True,36,24,5,6,3,7,0,36,24,5,6,3,7,0,5,5
2026-05-10,823868,MIA,True,34,27,2,6,3,5,0,34,27,2,6,3,5,0,2,2
2026-05-10,823954,ATL,True,36,27,2,2,6,10,1,36,27,2,2,6,10,1,2,2
2026-05-10,823954,LAD,True,37,27,7,9,1,7,2,37,27,7,9,1,7,2,7,7
2026-05-10,824113,DET,True,36,27,3,8,3,8,0,36,27,3,8,3,8,0,3,3
2026-05-10,824113,KC,True,43,27,6,9,7,9,1,43,27,6,9,7,9,1,6,6
2026-05-10,824440,MIN,True,43,27,4,11,6,9,0,43,27,4,11,6,9,0,4,4
2026-05-10,824440,CLE,True,38,27,5,13,2,8,0,38,27,5,13,2,8,0,5,5
2026-05-10,824520,HOU,True,38,24,5,9,5,6,1,38,24,5,9,5,6,1,5,5
2026-05-10,824520,CIN,True,30,27,0,3,1,10,0,30,27,0,3,1,10,0,0,0
2026-05-10,824605,SEA,True,31,24,2,5,1,10,1,31,24,2,5,1,10,1,2,2
2026-05-10,824605,CWS,True,37,27,1,7,3,12,0,37,27,1,7,3,12,0,1,1
2026-05-10,824765,TB,True,37,27,1,8,1,8,0,37,27,1,8,1,8,0,1,1
2026-05-10,824765,BOS,True,35,27,4,7,3,5,1,35,27,4,7,3,5,1,2,2
2026-05-10,824845,ATH,True,34,24,2,6,5,10,0,34,24,2,6,5,10,0,2,2
2026-05-10,824845,BAL,True,35,27,1,4,4,10,0,35,27,1,4,4,10,0,1,1
2026-05-10,825085,NYM,True,36,24,5,5,4,7,0,36,24,5,5,4,7,0,2,2
2026-05-10,825085,AZ,True,34,27,1,4,4,4,0,34,27,1,4,4,4,0,1,1
